file,prefix,caption,root_class,field_count,enter_count,num_count,date_count,combo_count,check_count,tab_count,grid_count,total_controls
T7PIF.DFM,T7PI,PI-F Phisical Inventory Report,TEditForm1,13,5,0,0,2,6,0,0,44
T7PIG.DFM,T7PI,PI-G Update Actual Inventory,TEditForm1,11,2,0,1,2,6,0,0,40
T7PIH.DFM,T7PI,PI-H Purge Physical Inventory,TEditForm1,3,1,0,0,2,0,0,0,21
T7PILOC.DFM,T7PI,,TPanel,0,0,0,0,0,0,0,0,3
T7PLessComps.DFM,T7PL,,TImageList,0,0,0,0,0,0,0,0,1
T7PLessNotes.DFM,T7PL,Notes Caption,TEditForm3,0,0,0,0,0,0,0,0,14
T7PLessWODates.DFM,T7PL,,TPanel,0,0,0,0,0,0,0,0,4
T7POA.DFM,T7PO,,TRtnTimer,0,0,0,0,0,0,0,0,1
T7POA2.DFM,T7PO,,TTASDGColTemplate,0,0,0,0,0,0,0,0,1
T7POAC.DFM,T7PO,T7POA,TEditForm1,54,35,6,1,11,2,0,0,146
T7POACPY.DFM,T7PO,New Screen,TEditForm1,3,0,1,1,1,0,0,0,13
T7POAE.DFM,T7PO,,TTASDGColTemplate,0,0,0,0,0,0,0,0,1
T7POAIMPLINES.DFM,T7PO,POA Import,TEditForm1,21,3,10,0,4,4,0,0,55
T7POAPrBrk.DFM,T7PO,,TTASDateEdit,1,0,0,1,0,0,0,0,1
T7POAVITEM.DFM,T7PO,,TImageList,0,0,0,0,0,0,0,0,1
T7POB.DFM,T7PO,PO-B,TEditForm1,21,5,0,0,7,10,0,0,56
T7POEA.DFM,T7PO, PO-E-A,TEditForm1,6,0,0,0,4,2,0,0,26
T7POENG.DFM,T7PO,PO-ENG,TEditForm1,100,32,6,8,33,10,2,0,228
T7POF.DFM,T7PO,PO-F,TEditForm1,39,5,24,2,7,2,2,0,98
T7POG.DFM,T7PO,PO-G,TEditForm1,12,1,1,2,3,5,0,0,35
T7POH.DFM,T7PO,PO-H,TEditForm1,37,6,14,5,7,5,0,0,111
T7POIC.DFM,T7PO,PO-I-C,TEditForm1,16,0,2,2,11,1,0,0,55
T7POID.DFM,T7PO,PO-I-D,TEditForm1,9,2,0,0,6,1,0,0,36
T7POIG.DFM,T7PO,PO-I-G,TEditForm1,22,4,0,2,15,1,0,0,68
T7POIH.DFM,T7PO,PO-I-H,TEditForm1,19,2,2,3,6,6,0,0,52
T7POII.DFM,T7PO,PO-I-I,TEditForm1,12,2,0,2,8,0,0,0,40
T7POIL.DFM,T7PO,PO-B,TEditForm1,10,0,0,2,7,1,0,0,38
T7POJA.DFM,T7PO,PO-J-A  Print Receipt Travellers,TEditForm1,15,0,2,2,5,6,0,0,44
T7POJB.DFM,T7PO,PO-J-B,TEditForm1,26,3,6,3,10,4,0,0,80
T7POJC.DFM,T7PO,PO-J-C,TEditForm1,33,9,12,3,8,1,0,0,98
T7POJD.DFM,T7PO,PO-J-D,TEditForm1,10,2,0,2,3,3,0,0,37
T7POK.DFM,T7PO,PO-K,TEditForm1,9,1,0,3,5,0,0,0,37
T7POL.DFM,T7PO,,TShellExe,0,0,0,0,0,0,0,0,1
T7POLA.DFM,T7PO,PO-L-A,TEditForm1,9,0,0,0,9,0,1,0,41
T7POLINEHIST.DFM,T7PO,,TShellExe,0,0,0,0,0,0,0,0,1
T7POLP.DFM,T7PO,PO-L-P,TEditForm4,5,0,0,0,5,0,0,0,27
T7POM.DFM,T7PO,,TImageList,0,0,0,0,0,0,0,0,1
T7POMAST.DFM,T7PO,New Screen,TEditForm1,34,13,13,3,5,0,0,0,92
