code,module,description,sources
IN-D,IN,Print Reorder Report,BKIND;T6IND
IN-E,IN,Print Inventory Transactions,BKINE
IN-F,IN,Print Inventory Value,BKINF
IN-G,IN,Print Inventory Labels,BKING;T6ING
IN-H,IN,Print Inventory Listing,BKINH;t6inh
IN-I,IN,Print Inventory General Info,BKINI
IN-J,IN,Print Physical Check,BKINJ
IN-K,IN,IN-L-E     SM-J-,BKINK;ISSMJS
IN-L-A,IN,Enter Standard Costs,BKINLA;FIXSTD
IN-L-B,IN,Enter/Assign Locations,BKINLB
IN-L-C,IN,Enter Customer Cross-Reference,BKINLC
IN-L-D,IN,Print Customer Cross-Reference,BKINLD
IN-L-E,IN,Update Material Standard Costs,BKINLE
IN-L-F,IN,Enter Material Dimensions,BKINLF
IN-L-G,IN,Print Material Dimensions,BKINLG
IN-L-H,IN,Edit FIFO/LIFO Buckets,BKINLH
IN-L-I,IN,Change Inventory Costing Method,BKINLI
IN-L-J,IN,Transfer Inventory,BKINLJ;ISINLJ
IN-L-K,IN,Inventory Exceptions Report,BKINLK
IN-L-L,IN,BOM report,BKINLL
IN-L-M,IN,Multi-Transfer Inventory,ISINLM;t6isinlm
IN-L-N,IN,Copy Item,ISINLN
IN-L-O,IN,Inventory utilites,BKACT;ISINLO;ISINLOA
IN-L-P,IN,Multi-Co-Transfer Inventory,ISICT;T6ISICT
IN-L-S,IN,Rebuild Stock Status,AUTOIND
IN-L-T,IN,Reset Inventory Cycle Codes,ISINLT
IN-L-U,IN,Recal UOH From FIFO Layers,ISINLU
IN-L-V,IN,Archive Obsolete Inventory -,ISINLOA
IN-M-C,IN,Global Price Change,BKINMC
IN-M-E,IN,Print Price Code Prices,BKINMI
IN-M-G,IN,Print Dicount Code Prices,BKINMI
IN-M-I,IN,Print Contract Prices,BKINMI
IN-N-A,IN,Print Month End Inventory Costing,BKINNA
IN-N-B,IN,Print Shipments Costing,BKINNB
IN-N-C,IN,Print Closed Work Orders Costing,BKINNC
IN-N-D,IN,Print Inventory Audit,BKINND;ISINND
IN-O,IN,User Defined Inventory Transactions,BKINO;T6INO
IS-A,IS,Item Recap,J5AVICT;J5BOMXPT;J5CRDCPY;J5CRPIMP;J5NWTICT
IS-B,IS,Production Report,J6CFPRPT;JMAPIBL;JMMPI2;jmcrbfs
IS-C,IS,Top N Shipped Items,J6CFTOPI
IS-D,IS,New Customer Report,j6cfcust
JC-A,JC,Print Job Cost Report,BKJCA;t6jca
JC-B,JC,Print Profit Projection,BKJCB
JC-C,JC,Print Labor Transactions,BKJCC
JC-D,JC,Print Overhead Transactions,BKJCD
JC-E,JC,Print Material Issues,BKJCE;ISJCE
JC-F,JC,Print Outside Purchases,BKJCF
JC-G,JC,Print Labor Efficiency,BKJCG
JC-H,JC,Print Active Work Order History,BKJCH;J6HTJCH
JC-I,JC,Print Production By Work Center,BKJCI
JC-J,JC,Print Production By Machine,BKJCJ
JC-K,JC,Print Production By Tool,BKJCK
JC-L,JC,Print Job Cost Summary,BKJCL
JC-M,JC,Print WIP Summary,BKJCM
JC-N,JC,Print WIP Percent Completion,BKJCN
JC-O,JC,Print Standard Labor Hours,BKJCO
JC-P,JC,Print Materials in WIP,BKJCP
JC-Q,JC,Print WO Receipts,BKJCQ
JC-R,JC,Multi-Level Assembly Cost Breakdown,BKJCR
LC-A,LC,Edit Lot Numbers,BKLCA
LC-B,LC,Assign Lot Control,BKLCB
LC-C,LC,Print Lot Availability,BKLCC;T6LCC
LC-D,LC,Print Lot History,BKINO;T6INO
LC-E,LC,Reconcile Inventory,BKLCE;t6islce
LC-F,LC,LOT Control Exceptions,BKLCF;ISLCF
LC-G,LC,Sales Order Lot Control,BKLCG
LM-B,LM,Enter Item Generator Templates,BKLMB
LM-H,LM,Purge QC Receipts,BKLMH
LW-A,LW,Enter Work Orders,BKAWA;BKDCI;BKWOA
LW-B,LW,Change WO Status,BKAWB;BKWOB
LW-D,LW,Print Pick Lists,BKAWD;BKWOD
LW-E,LW,Issue Material,BKAWG;BKDEJHA;BKWOG;ISWOG
LW-F,LW,Enter Extra Costs,BKAWH;BKLWF;BKWOH
LW-G,LW,Enter Finished Production,BKAWI;BKDEJIA;BKWOIP~1;NZWOI;SRWOI
LW-H,LW,Close/Cancel Work Orders,BKAWJ
LW-I-A,LW,Enter Work Order Bills of Material,BKAWKB
LW-I-B,LW,Create Multi-Date Work Orders,BKAWKC;BKWOKC
LW-I-C,LW,Create Multi-Assy Work Orders,BKAWKD;BKWOKD
LW-I-D,LW,Swap Substitute Parts,BKAWKE;BKWOKE
LW-J-C,LW,Print Material/Labor Issues,BKJCE;ISJCE
LW-J-D,LW,Print Outside Purchases,BKJCF
LW-J-E,LW,Print Job Cost Summary,BKLWJE
LW-J-F,LW,Print Job Cost Report,BKJCA;t6jca
LW-J-G,LW,Print Work Order Shortages,BKAWLF;BKWOLF;t6wolf
LW-J-H,LW,Print WIP Summary,BKJCM;BKJCR
LW-J-I,LW,Print WO Receipts,BKJCQ
MM-K-A,MM,Print Product Classes,BKMMKA
MM-K-C,MM,Print Customer Code and Name,BKARG
MM-K-D,MM,Print Vendor Code and Name,BKAPJ;t6apj
MM-L,MM,Enter Vendors,BKAPA;BKPOP
MR-A,MR,Enter Forecast,BKMRA;BKMRADE
MR-B,MR,Print Forecast,BKMRB
MR-C,MR,Reset Forecast,BKMRC
MR-D,MR,Enter MRP Parameters,BKMRD
MR-E,MR,Print MRP Parameters,BKMRE
MR-F,MR,Generate Material Requirements,AUTOMRF;BKMRF
MR-G,MR,Print Material Requirements,BKMRG
MR-H,MR,Print Order Action Report,BKMRH
MR-I,MR,Generate Work Orders,BKMRI
MR-J,MR,Generate Purchase Orders,BKMRJ;BKMRK
MR-K,MR,Generate RFQ's,BKMRJ;BKMRK
MR-L,MR,Print Planned Orders Report,BKMRL
PI-A,PI,Frozen Inventory Report,BKPIA;BKPIB
PI-B,PI,Frozen Inventory Report,BKPIB
PI-C,PI,Enter Tag Counts,BKPIC
PI-C-A,PI,Physical Inventory Exception Report,BKPICA;T6PICA
PI-D,PI,Missing Tags Report,BKPID
PI-E,PI,Edit Frozen Inventory Costs,BKPIE
PI-F,PI,Physical Inventory Report,BKPIF;T6PIF
PI-G,PI,Update Actual Inventory,BKPIF;BKPIG;T6PIF
PI-H,PI,Purge Physical Inventory,BKPIF;BKPIH;T6PIF
PL-D,PL,Import Employees,BKPLD
PL-E,PL,Payroll Software Link Setup,BKPLE
PO-A,PO,Enable UPC Numbers,BKPOA;BKPOA1;ISTECH;T6POA
PO-B,PO,Print Purchase Orders,BKPOB;T6POB
PO-C,PO,P/O Lot Control,BKPOC;BKPOCLOT;BKPOCSER;ISPOC;ISTECH
PO-D,PO,View PO Receivers,BKPOA;BKPOA1;T6POA
PO-E,PO,Copy RFQs,BKPOA;BKPOA1;T6POA
PO-E-A,PO,Request for Quote (Universal),BKPOEA;T6POEA
PO-F,PO,Enter Verbal RFQs,BKPOF
PO-G,PO,Convert RFQs,BKPOG
PO-H,PO,Enter Vendor Prices,BKPOH;t6poh
PO-I-A,PO,Print Open Purchase Orders Listing,BKPOENG;T6POENG
PO-I-B,PO,Print Closed Purchase Orders Listing,BKPOENG;T6POENG
PO-I-C,PO,Print RFQ Status,BKPOIC
PO-I-D,PO,Print Vendor Prices,BKPOID
PO-I-E,PO,Print Receiving Report,BKPOENG;JCPOIE2;PCONRPT;T6POENG
PO-I-F,PO,Print Received not Invoiced,BKPOENG;T6POENG
PO-I-G,PO,Print Purchase Order Items by Due Date,BKPOIG
PO-I-H,PO,Vendor Performance,t6poih
