IS_JAVA_UID,IS_JAVA_PARAM_1,IS_JAVA_PARAM_2,IS_JAVA_PARAM_3,IS_JAVA_PARAM_4,IS_JAVA_PARAM_5,IS_JAVA_PARAM_6,IS_JAVA_PARAM_7,IS_JAVA_PARAM_8,IS_JAVA_PARAM_9,IS_JAVA_PARAM_10,IS_JAVA_PARAM_11,IS_JAVA_PARAM_12,IS_JAVA_PARAM_13,IS_JAVA_PARAM_14,IS_JAVA_PARAM_15,IS_JAVA_PARAM_16,IS_JAVA_PARAM_17,IS_JAVA_PARAM_18,IS_JAVA_PARAM_19,IS_JAVA_PARAM_20,IS_JAVA_PARAM_21,IS_JAVA_PARAM_22,IS_JAVA_PARAM_23,IS_JAVA_PARAM_24,IS_JAVA_PARAM_25,IS_JAVA_DATE
BSCHIBI074636A20230717,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-17
BSCHIBI074640A20230308,2,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-08
BSCHIBI074652A20230217,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-17
BSCHIBI074750A20221010,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-10
BSCHIBI074813A20221221,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-21
BSCHIBI074943A20230306,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-06
BSCHIBI074955A20220614,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-14
BSCHIBI075140A20221114,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-14
BSCHIBI075432A20211022,1,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-22
BSCHIBI075434A20220513,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-13
BSCHIBI075603A20240815,1,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-15
BSCHIBI075638A20230314,2,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-14
BSCHIBI075726A20210930,1,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-30
BSCHIBI075736A20220204,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-04
BSCHIBI075859A20220610,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-10
BSCHIBI080006A20221014,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-14
BSCHIBI080016A20220328,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-28
BSCHIBI080022A20220422,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-22
BSCHIBI080246A20211214,1,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-14
BSCHIBI080548A20220406,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-06
BSCHIBI080845A20230922,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-22
BSCHIBI081335A20221006,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-06
BSCHIBI081754A20220926,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-26
BSCHIBI083453A20220826,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-26
BSCHIBI083839A20230914,1,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-14
BSCHIBI083908A20220531,1,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-31
