LOC_BUFF_N,LOC_FILE_N,LOC_COMP_C,LOC_REC_SI,LOC_REC_TY,LOC_LOCATI,LOC_DESCRI
BKCMPCFC,BKCMPCFC,B,33,B,DEFAULT\,
BKCMPCFC,BKCMPCFC,B99,33,B,TESTDATA\,
BKCMPCNT,BKCMPCNT,B,733,B,DEFAULT\,
BKCMPCNT,BKCMPCNT,B99,733,B,TESTDATA\,
BKCMPCTF,BKCMPCTF,B,322,B,DEFAULT\,
BKCMPCTF,BKCMPCTF,B99,322,B,TESTDATA\,
BKCMPCTH,BKCMPCTH,B,134,B,DEFAULT\,
BKCMPCTH,BKCMPCTH,B99,134,B,TESTDATA\,
BKCMREP,BKCMREP,B,128,B,DEFAULT\,
BKCMREP,BKCMREP,B99,128,B,TESTDATA\,
BKCMSBDF,BKCMSBDF,B,21,B,DEFAULT\,
BKCMSBDF,BKCMSBDF,B99,21,B,TESTDATA\,
BKCMTEMP,BKCMTEMP,B,46,B,DEFAULT\,
BKCMTEMP,BKCMTEMP,B99,46,B,TESTDATA\,
BKCMTEMP,BKCMTMP1,B,46,B,DEFAULT\,
BKCMTEMP,BKCMTMP1,B99,46,B,TESTDATA\,
BKCMTEMP,BKCMTMP2,B,46,B,DEFAULT\,
BKCMTEMP,BKCMTMP2,B99,46,B,TESTDATA\,
BKCMTEMP,BKCMTMP3,B,46,B,DEFAULT\,
BKCMTEMP,BKCMTMP3,B99,46,B,TESTDATA\,
BKCMTEMP,BKCMTMP4,B,46,B,DEFAULT\,
BKCMTEMP,BKCMTMP4,B99,46,B,TESTDATA\,
BKCMTERR,BKCMTERR,B,296,B,DEFAULT\,
BKCMTERR,BKCMTERR,B99,296,B,TESTDATA\,
BKCMVNDF,BKCMVNDF,B,330,B,DEFAULT\,
BKCMVNDF,BKCMVNDF,B99,330,B,TESTDATA\,
BKCMVNDH,BKCMVNDH,B,134,B,DEFAULT\,
BKCMVNDH,BKCMVNDH,B99,134,B,TESTDATA\,
BKCMVNFC,BKCMVNFC,B,33,B,DEFAULT\,
BKCMVNFC,BKCMVNFC,B99,33,B,TESTDATA\,
BKCPEC,BKCPEC,B,84,B,DEFAULT\,
BKCPEC,BKCPEC,B99,84,B,TESTDATA\,
BKCPMSTR,BKCPMSTR,B,280,B,DEFAULT\,
BKCPMSTR,BKCPMSTR,B99,280,B,TESTDATA\,
BKDCCFG,BKDCCFG,B,200,B,DEFAULT\,
BKDCCFG,BKDCCFG,B99,200,B,TESTDATA\,
BKDCLAB,BKDCCLAB,B,877,B,DEFAULT\,
BKDCLAB,BKDCCLAB,B99,877,B,TESTDATA\,
BKDCLAB,BKDCHLAB,B,877,B,DEFAULT\,
BKDCLAB,BKDCHLAB,B99,877,B,TESTDATA\,
BKDCLAB,BKDCLAB,B,877,B,DEFAULT\,
BKDCLAB,BKDCLAB,B99,877,B,TESTDATA\,
BKDCLAB,BKDCPLAB,B,877,B,DEFAULT\,
BKDCLAB,BKDCPLAB,B99,877,B,TESTDATA\,
BKDCLAB,BKDCTLAB,B,877,B,DEFAULT\,
BKDCLAB,BKDCTLAB,B99,877,B,TESTDATA\,
BKDCSHFT,BKDCSHFT,B,245,B,DEFAULT\,
BKDCSHFT,BKDCSHFT,B99,245,B,TESTDATA\,
BKEDIDUN,BKEDIDUN,B,33,B,DEFAULT\,
BKEDIDUN,BKEDIDUN,B99,33,B,TESTDATA\,
BKEDMSTR,BKEDMSTR,B,89,B,DEFAULT\,
BKEDMSTR,BKEDMSTR,B99,89,B,TESTDATA\,
BKEDNOTE,BKEDNOTE,B,96,B,DEFAULT\,
BKEDNOTE,BKEDNOTE,B99,96,B,TESTDATA\,
BKEDPOST,BKEDPOST,B,18,B,DEFAULT\,
BKEDPOST,BKEDPOST,B99,18,B,TESTDATA\,
BKESTCFG,BKESTCFG,B,315,B,DEFAULT\,
BKESTCFG,BKESTCFG,B99,315,B,TESTDATA\,
BKFLDHLP,BKFLDHLP,B,79,B,DEFAULT\,
BKFLDHLP,BKFLDHLP,B99,79,B,TESTDATA\,
BKFOCFG,BKFOCFG,B,71,B,DEFAULT\,
BKFOCFG,BKFOCFG,B99,71,B,TESTDATA\,
BKGLCCOA,BKGLCCOA,B,490,B,DEFAULT\,
BKGLCCOA,BKGLCCOA,B99,490,B,TESTDATA\,
BKGLCHK,BKGLACHK,B,173,B,DEFAULT\,
BKGLCHK,BKGLACHK,B99,173,B,TESTDATA\,
BKGLCHK,BKGLCHK,B,173,B,DEFAULT\,
BKGLCHK,BKGLCHK,B99,173,B,TESTDATA\,
BKGLCHK,BKGLICC,B,173,B,DEFAULT\,
BKGLCHK,BKGLICC,B99,173,B,TESTDATA\,
BKGLCOA,BKGLCOA,B,556,B,DEFAULT\,
BKGLCOA,BKGLCOA,B99,556,B,TESTDATA\,
BKGLCOA,BKGLECOA,B,556,B,DEFAULT\,
BKGLCOA,BKGLECOA,B99,556,B,TESTDATA\,
BKGLCOA,BKGLFCOA,B,556,B,DEFAULT\,
BKGLCOA,BKGLFCOA,B99,556,B,TESTDATA\,
BKGLCOA,EMERSNGL,B,556,B,DEFAULT\,
BKGLCOA,EMERSNGL,B99,556,B,TESTDATA\,
BKGLFSTL,BKGLFSTL,B,68,B,DEFAULT\,
BKGLFSTL,BKGLFSTL,B99,68,B,TESTDATA\,
BKGLGJLN,BKGLAGJL,B,123,B,DEFAULT\,
BKGLGJLN,BKGLAGJL,B99,123,B,TESTDATA\,
BKGLGJLN,BKGLGJLN,B,123,B,DEFAULT\,
BKGLGJLN,BKGLGJLN,B99,123,B,TESTDATA\,
BKGLGJLN,BKGLRGJL,B,123,B,DEFAULT\,
BKGLGJLN,BKGLRGJL,B99,123,B,TESTDATA\,
BKGLGJLN,BKGLTGJL,B,123,B,DEFAULT\,
BKGLGJLN,BKGLTGJL,B99,123,B,TESTDATA\,
BKGLGJRN,BKGLAGJR,B,104,B,DEFAULT\,
BKGLGJRN,BKGLAGJR,B99,104,B,TESTDATA\,
BKGLGJRN,BKGLGJRN,B,104,B,DEFAULT\,
BKGLGJRN,BKGLGJRN,B99,104,B,TESTDATA\,
BKGLGJRN,BKGLRGJR,B,104,B,DEFAULT\,
BKGLGJRN,BKGLRGJR,B99,104,B,TESTDATA\,
BKGLGJRN,BKGLTGJR,B,104,B,DEFAULT\,
BKGLGJRN,BKGLTGJR,B99,104,B,TESTDATA\,
BKGLSTMT,BKGLSTMT,B,1670,B,DEFAULT\,
BKGLSTMT,BKGLSTMT,B99,1670,B,TESTDATA\,
BKGLTRAN,BKGLATRN,B,137,B,DEFAULT\,
BKGLTRAN,BKGLATRN,B99,137,B,TESTDATA\,
BKGLTRAN,BKGLETRN,B,137,B,DEFAULT\,
BKGLTRAN,BKGLETRN,B99,137,B,TESTDATA\,
BKGLTRAN,BKGLHIST,B,137,B,DEFAULT\,
BKGLTRAN,BKGLHIST,B99,137,B,TESTDATA\,
BKGLTRAN,BKGLTEMP,B,137,B,DEFAULT\,
BKGLTRAN,BKGLTEMP,B99,137,B,TESTDATA\,
BKGLTRAN,BKGLTMP,B,137,B,DEFAULT\,
BKGLTRAN,BKGLTMP,B99,137,B,TESTDATA\,
BKGLTRAN,BKGLTMP2,B,137,B,DEFAULT\,
BKGLTRAN,BKGLTMP2,B99,137,B,TESTDATA\,
BKGLTRAN,BKGLTMP3,B,137,B,DEFAULT\,
BKGLTRAN,BKGLTMP3,B99,137,B,TESTDATA\,
BKGLTRAN,BKGLTRAN,B,137,B,DEFAULT\,
BKGLTRAN,BKGLTRAN,B99,137,B,TESTDATA\,
BKGLX,BKGLX,B,139,B,DEFAULT\,
BKGLX,BKGLX,B99,139,B,TESTDATA\,
BKGLX,BKGLXH,B,139,B,DEFAULT\,
BKGLX,BKGLXH,B99,139,B,TESTDATA\,
BKICALTD,BKICALTD,B,436,B,DEFAULT\,
BKICALTD,BKICALTD,B99,436,B,TESTDATA\,
BKICALTP,BKICALTP,B,131,B,DEFAULT\,
BKICALTP,BKICALTP,B99,131,B,TESTDATA\,
BKICDIM,BKICDIM,B,867,B,DEFAULT\,
BKICDIM,BKICDIM,B99,867,B,TESTDATA\,
BKICLOC,BKICELOC,B,350,B,DEFAULT\,
BKICLOC,BKICELOC,B99,350,B,TESTDATA\,
BKICLOC,BKICLOC,B,350,B,DEFAULT\,
BKICLOC,BKICLOC,B99,350,B,TESTDATA\,
BKICLOCM,BKICLOCM,B,325,B,DEFAULT\,
BKICLOCM,BKICLOCM,B99,325,B,TESTDATA\,
BKICMFG,BKICMFG,B,155,B,DEFAULT\,
BKICMFG,BKICMFG,B99,155,B,TESTDATA\,
BKICMSTR,BKICAMTR,B,617,B,DEFAULT\,
BKICMSTR,BKICAMTR,B99,617,B,TESTDATA\,
BKICMSTR,BKICEMTR,B,617,B,DEFAULT\,
BKICMSTR,BKICEMTR,B99,617,B,TESTDATA\,
BKICMSTR,BKICMSTR,B,617,B,DEFAULT\,
BKICMSTR,BKICMSTR,B99,617,B,TESTDATA\,
BKICMSTR,ISICADT,B,617,B,DEFAULT\,
BKICMSTR,ISICADT,B99,617,B,TESTDATA\,
BKICMSTR,ISICESA,B,617,B,DEFAULT\,
BKICMSTR,ISICESA,B99,617,B,TESTDATA\,
BKICMSTR,ISICEST,B,617,B,DEFAULT\,
BKICMSTR,ISICEST,B99,617,B,TESTDATA\,
BKICMSTR,ISICSTD,B,617,B,DEFAULT\,
BKICMSTR,ISICSTD,B99,617,B,TESTDATA\,
BKICMSTR,XXICMSTR,B,617,B,DEFAULT\,
BKICMSTR,XXICMSTR,B99,617,B,TESTDATA\,
BKICPMAT,BKICAPMA,B,1353,B,DEFAULT\,
BKICPMAT,BKICAPMA,B99,1353,B,TESTDATA\,
BKICPMAT,BKICPMAT,B,1353,B,DEFAULT\,
BKICPMAT,BKICPMAT,B99,1353,B,TESTDATA\,
BKICPMAT,DISCOUNT,B,1353,B,DEFAULT\,
BKICPMAT,DISCOUNT,B99,1353,B,TESTDATA\,
BKICPMAT,ISICAPMT,B,1353,B,DEFAULT\,
BKICPMAT,ISICAPMT,B99,1353,B,TESTDATA\,
BKICREF,BKICREF,B,420,B,DEFAULT\,
BKICREF,BKICREF,B99,420,B,TESTDATA\,
BKICREF,ISICAREF,B,420,B,DEFAULT\,
