LOC_BUFF_N,LOC_FILE_N,LOC_COMP_C,LOC_REC_SI,LOC_REC_TY,LOC_LOCATI,LOC_DESCRI
BKAPNOTE,BKAPNOTE,B99,642,B,TESTDATA\,
BKAPPO,BKAPAPO,B,893,B,DEFAULT\,
BKAPPO,BKAPAPO,B99,893,B,TESTDATA\,
BKAPPO,BKAPHPO,B,893,B,DEFAULT\,
BKAPPO,BKAPHPO,B99,893,B,TESTDATA\,
BKAPPO,BKAPPO,B,893,B,DEFAULT\,
BKAPPO,BKAPPO,B99,893,B,TESTDATA\,
BKAPPO,BKAPRFQ,B,893,B,DEFAULT\,
BKAPPO,BKAPRFQ,B99,893,B,TESTDATA\,
BKAPPO,ISAPARFQ,B,893,B,DEFAULT\,
BKAPPO,ISAPARFQ,B99,893,B,TESTDATA\,
BKAPPO,ISAPOPO,B,893,B,DEFAULT\,
BKAPPO,ISAPOPO,B99,893,B,TESTDATA\,
BKAPPO,ISSRFQH,B,893,B,DEFAULT\,
BKAPPO,ISSRFQH,B99,893,B,TESTDATA\,
BKAPPOL,BKAPAPOL,B,370,B,DEFAULT\,
BKAPPOL,BKAPAPOL,B99,370,B,TESTDATA\,
BKAPPOL,BKAPHPOL,B,370,B,DEFAULT\,
BKAPPOL,BKAPHPOL,B99,370,B,TESTDATA\,
BKAPPOL,BKAPPOL,B,370,B,DEFAULT\,
BKAPPOL,BKAPPOL,B99,370,B,TESTDATA\,
BKAPPOL,BKAPRFQL,B,370,B,DEFAULT\,
BKAPPOL,BKAPRFQL,B99,370,B,TESTDATA\,
BKAPPOL,ISAPARFL,B,370,B,DEFAULT\,
BKAPPOL,ISAPARFL,B99,370,B,TESTDATA\,
BKAPPOL,ISAPOPOL,B,370,B,DEFAULT\,
BKAPPOL,ISAPOPOL,B99,370,B,TESTDATA\,
BKAPPOL,ISSRFQL,B,370,B,DEFAULT\,
BKAPPOL,ISSRFQL,B99,370,B,TESTDATA\,
BKAPVEND,BKAPEVND,B,2230,B,DEFAULT\,
BKAPVEND,BKAPEVND,B99,2230,B,TESTDATA\,
BKAPVEND,BKAPVEND,B,2230,B,DEFAULT\,
BKAPVEND,BKAPVEND,B99,2230,B,TESTDATA\,
BKAPVEND,ISAPAVND,B,2230,B,DEFAULT\,
BKAPVEND,ISAPAVND,B99,2230,B,TESTDATA\,
BKAPVND2,BKAPVND2,B,1831,B,DEFAULT\,
BKAPVND2,BKAPVND2,B99,1831,B,TESTDATA\,
BKARCUST,BKARCUST,B,2498,B,DEFAULT\,
BKARCUST,BKARCUST,B99,2498,B,TESTDATA\,
BKARCUST,BKARECST,B,2498,B,DEFAULT\,
BKARCUST,BKARECST,B99,2498,B,TESTDATA\,
BKARCUST,BKARSHIP,B,2498,B,DEFAULT\,
BKARCUST,BKARSHIP,B99,2498,B,TESTDATA\,
BKARCUST,BKCMCUST,B,2498,B,DEFAULT\,
BKARCUST,BKCMCUST,B99,2498,B,TESTDATA\,
BKARCUST,ISARACST,B,2498,B,DEFAULT\,
BKARCUST,ISARACST,B99,2498,B,TESTDATA\,
BKARDEP,BKAPDEP,B,81,B,DEFAULT\,
BKARDEP,BKAPDEP,B99,81,B,TESTDATA\,
BKARDEP,BKARDEP,B,81,B,DEFAULT\,
BKARDEP,BKARDEP,B99,81,B,TESTDATA\,
BKARHTAX,BKARHTAX,B,42,B,DEFAULT\,
BKARHTAX,BKARHTAX,B99,42,B,TESTDATA\,
BKARHTAX,ISARAHTX,B,42,B,DEFAULT\,
BKARHTAX,ISARAHTX,B99,42,B,TESTDATA\,
BKARINV,BKARHINV,B,1551,B,DEFAULT\,
BKARINV,BKARHINV,B99,1551,B,TESTDATA\,
BKARINV,BKARINV,B,1551,B,DEFAULT\,
BKARINV,BKARINV,B99,1551,B,TESTDATA\,
BKARINV,BKARRINV,B,1551,B,DEFAULT\,
BKARINV,BKARRINV,B99,1551,B,TESTDATA\,
BKARINV,BKEDIH,B,1551,B,DEFAULT\,
BKARINV,BKEDIH,B99,1551,B,TESTDATA\,
BKARINV,BKESTQT,B,1551,B,DEFAULT\,
BKARINV,BKESTQT,B99,1551,B,TESTDATA\,
BKARINV,ISARAHIN,B,1551,B,DEFAULT\,
BKARINV,ISARAHIN,B99,1551,B,TESTDATA\,
BKARINV,ISARAINV,B,1551,B,DEFAULT\,
BKARINV,ISARAINV,B99,1551,B,TESTDATA\,
BKARINV,ISESAHDR,B,1551,B,DEFAULT\,
BKARINV,ISESAHDR,B99,1551,B,TESTDATA\,
BKARINV,ISESTAQT,B,1551,B,DEFAULT\,
BKARINV,ISESTAQT,B99,1551,B,TESTDATA\,
BKARINV,ISESTHDR,B,1551,B,DEFAULT\,
BKARINV,ISESTHDR,B99,1551,B,TESTDATA\,
BKARINV,ISRMAINV,B,1551,B,DEFAULT\,
BKARINV,ISRMAINV,B99,1551,B,TESTDATA\,
BKARINV,ISRMINV,B,1551,B,DEFAULT\,
BKARINV,ISRMINV,B99,1551,B,TESTDATA\,
BKARINV,ISSNINV,B,1551,B,DEFAULT\,
BKARINV,ISSNINV,B99,1551,B,TESTDATA\,
BKARINV,ISSRAINV,B,1551,B,DEFAULT\,
BKARINV,ISSRAINV,B99,1551,B,TESTDATA\,
BKARINV,ISSRINV,B,1551,B,DEFAULT\,
BKARINV,ISSRINV,B99,1551,B,TESTDATA\,
BKARINV,ISSRMINV,B,1551,B,DEFAULT\,
BKARINV,ISSRMINV,B99,1551,B,TESTDATA\,
BKARINVI,BKARINVI,B,124,B,DEFAULT\,
BKARINVI,BKARINVI,B99,124,B,TESTDATA\,
BKARINVI,ISARAIVI,B,124,B,DEFAULT\,
BKARINVI,ISARAIVI,B99,124,B,TESTDATA\,
BKARINVL,BKARHIVL,B,312,B,DEFAULT\,
BKARINVL,BKARHIVL,B99,312,B,TESTDATA\,
BKARINVL,BKARINVL,B,312,B,DEFAULT\,
BKARINVL,BKARINVL,B99,312,B,TESTDATA\,
BKARINVL,BKARRIVL,B,312,B,DEFAULT\,
BKARINVL,BKARRIVL,B99,312,B,TESTDATA\,
BKARINVL,BKARSIVL,B,312,B,DEFAULT\,
BKARINVL,BKARSIVL,B99,312,B,TESTDATA\,
BKARINVL,BKEDIL,B,312,B,DEFAULT\,
BKARINVL,BKEDIL,B99,312,B,TESTDATA\,
BKARINVL,BKESTQTL,B,312,B,DEFAULT\,
BKARINVL,BKESTQTL,B99,312,B,TESTDATA\,
BKARINVL,ISARAHIL,B,312,B,DEFAULT\,
BKARINVL,ISARAHIL,B99,312,B,TESTDATA\,
BKARINVL,ISARAIVL,B,312,B,DEFAULT\,
BKARINVL,ISARAIVL,B99,312,B,TESTDATA\,
BKARINVL,ISESALNE,B,312,B,DEFAULT\,
BKARINVL,ISESALNE,B99,312,B,TESTDATA\,
BKARINVL,ISESTAQL,B,312,B,DEFAULT\,
BKARINVL,ISESTAQL,B99,312,B,TESTDATA\,
BKARINVL,ISESTLNE,B,312,B,DEFAULT\,
BKARINVL,ISESTLNE,B99,312,B,TESTDATA\,
BKARINVL,ISRMAIVL,B,312,B,DEFAULT\,
BKARINVL,ISRMAIVL,B99,312,B,TESTDATA\,
BKARINVL,ISRMINVL,B,312,B,DEFAULT\,
BKARINVL,ISRMINVL,B99,312,B,TESTDATA\,
BKARINVL,ISSNINVL,B,312,B,DEFAULT\,
BKARINVL,ISSNINVL,B99,312,B,TESTDATA\,
BKARINVL,ISSRAIVL,B,312,B,DEFAULT\,
BKARINVL,ISSRAIVL,B99,312,B,TESTDATA\,
BKARINVL,ISSRINVL,B,312,B,DEFAULT\,
BKARINVL,ISSRINVL,B99,312,B,TESTDATA\,
BKARINVL,ISSRMIVL,B,312,B,DEFAULT\,
BKARINVL,ISSRMIVL,B99,312,B,TESTDATA\,
BKARINVT,BKAREIVT,B,189,B,DEFAULT\,
BKARINVT,BKAREIVT,B99,189,B,TESTDATA\,
BKARINVT,BKARINVT,B,189,B,DEFAULT\,
BKARINVT,BKARINVT,B99,189,B,TESTDATA\,
BKARINVT,ISARAINT,B,189,B,DEFAULT\,
BKARINVT,ISARAINT,B99,189,B,TESTDATA\,
BKARINVV,BKARINVV,B,673,B,DEFAULT\,
BKARINVV,BKARINVV,B99,673,B,TESTDATA\,
BKARINVV,ISARAIVV,B,673,B,DEFAULT\,
BKARINVV,ISARAIVV,B99,673,B,TESTDATA\,
BKART,ARTTEMP,B,70,B,DEFAULT\,
BKART,ARTTEMP,B99,70,B,TESTDATA\,
BKART,BKART,B,70,B,DEFAULT\,
BKART,BKART,B99,70,B,TESTDATA\,
BKART,ISARAT,B,70,B,DEFAULT\,
BKART,ISARAT,B99,70,B,TESTDATA\,
BKARTNOT,BKARTNOT,B,40,B,DEFAULT\,
BKARTNOT,BKARTNOT,B99,40,B,TESTDATA\,
BKARTNOT,ISARATNT,B,40,B,DEFAULT\,
BKARTNOT,ISARATNT,B99,40,B,TESTDATA\,
BKARTXN,BKARTXN,B,251,B,DEFAULT\,
BKARTXN,BKARTXN,B99,251,B,TESTDATA\,
BKARTXN,BKARTXNB,B,251,B,DEFAULT\,
BKARTXN,BKARTXNB,B99,251,B,TESTDATA\,
BKARTXN,BKARTXNS,B,251,B,DEFAULT\,
BKARTXN,BKARTXNS,B99,251,B,TESTDATA\,
BKARTXN,BKSOHLOT,B,251,B,DEFAULT\,
BKARTXN,BKSOHLOT,B99,251,B,TESTDATA\,
BKARTXN,BKSOHSER,B,251,B,DEFAULT\,
BKARTXN,BKSOHSER,B99,251,B,TESTDATA\,
BKARTXN,ISARATXN,B,251,B,DEFAULT\,
BKARTXN,ISARATXN,B99,251,B,TESTDATA\,
BKARTXN,ISARATXS,B,251,B,DEFAULT\,
BKARTXN,ISARATXS,B99,251,B,TESTDATA\,
BKARTXN,ISRMATXN,B,251,B,DEFAULT\,
BKARTXN,ISRMATXN,B99,251,B,TESTDATA\,
BKARTXN,ISRMATXS,B,251,B,DEFAULT\,
BKARTXN,ISRMATXS,B99,251,B,TESTDATA\,
BKARTXN,ISRMTXN,B,251,B,DEFAULT\,
BKARTXN,ISRMTXN,B99,251,B,TESTDATA\,
BKARTXN,ISRMTXNS,B,251,B,DEFAULT\,
BKARTXN,ISRMTXNS,B99,251,B,TESTDATA\,
BKARTXN,ISSNTXN,B,251,B,DEFAULT\,
BKARTXN,ISSNTXN,B99,251,B,TESTDATA\,
BKARTXN,ISSNTXNS,B,251,B,DEFAULT\,
BKARTXN,ISSNTXNS,B99,251,B,TESTDATA\,
BKARTXN,ISSOALOT,B,251,B,DEFAULT\,
BKARTXN,ISSOALOT,B99,251,B,TESTDATA\,
BKARTXN,ISSOASER,B,251,B,DEFAULT\,
BKARTXN,ISSOASER,B99,251,B,TESTDATA\,
BKARTXN,ISSRATXN,B,251,B,DEFAULT\,
BKARTXN,ISSRATXN,B99,251,B,TESTDATA\,
BKARTXN,ISSRATXS,B,251,B,DEFAULT\,
BKARTXN,ISSRATXS,B99,251,B,TESTDATA\,
BKARTXN,ISSRTXN,B,251,B,DEFAULT\,
BKARTXN,ISSRTXN,B99,251,B,TESTDATA\,
BKARTXN,ISSRTXNS,B,251,B,DEFAULT\,
BKARTXN,ISSRTXNS,B99,251,B,TESTDATA\,
BKBMCNFG,BKBMCNFG,B,26,B,DEFAULT\,
BKBMCNFG,BKBMCNFG,B99,26,B,TESTDATA\,
BKBMDIM,BKBMDIM,B,134,B,DEFAULT\,
BKBMDIM,BKBMDIM,B99,134,B,TESTDATA\,
BKBMMSTR,BKBMAMTR,B,215,B,DEFAULT\,
BKBMMSTR,BKBMAMTR,B99,215,B,TESTDATA\,
BKBMMSTR,BKBMARC,B,215,B,DEFAULT\,
BKBMMSTR,BKBMARC,B99,215,B,TESTDATA\,
BKBMMSTR,BKBMAVAL,B,215,B,DEFAULT\,
BKBMMSTR,BKBMAVAL,B99,215,B,TESTDATA\,
BKBMMSTR,BKBMEMTR,B,215,B,DEFAULT\,
BKBMMSTR,BKBMEMTR,B99,215,B,TESTDATA\,
BKBMMSTR,BKBMMSTR,B,215,B,DEFAULT\,
BKBMMSTR,BKBMMSTR,B99,215,B,TESTDATA\,
BKBMMSTR,BKBMSUMM,B,215,B,DEFAULT\,
BKBMMSTR,BKBMSUMM,B99,215,B,TESTDATA\,
BKBMMSTR,ISBMESA,B,215,B,DEFAULT\,
BKBMMSTR,ISBMESA,B99,215,B,TESTDATA\,
BKBMMSTR,ISBMEST,B,215,B,DEFAULT\,
BKBMMSTR,ISBMEST,B99,215,B,TESTDATA\,
BKBMMSTR,ISBMTMP,B,215,B,DEFAULT\,
BKBMMSTR,ISBMTMP,B99,215,B,TESTDATA\,
BKBMNOTE,BKBMNOTE,B,975,B,DEFAULT\,
BKBMNOTE,BKBMNOTE,B99,975,B,TESTDATA\,
BKBMREMK,BKBMERMK,B,1062,B,DEFAULT\,
BKBMREMK,BKBMERMK,B99,1062,B,TESTDATA\,
BKBMREMK,BKBMREMK,B,1062,B,DEFAULT\,
BKBMREMK,BKBMREMK,B99,1062,B,TESTDATA\,
BKCMACCC,BKCMACCC,B,30,B,DEFAULT\,
BKCMACCC,BKCMACCC,B99,30,B,TESTDATA\,
BKCMACCC,ISBRANDC,B,30,B,DEFAULT\,
BKCMACCC,ISBRANDC,B99,30,B,TESTDATA\,
BKCMACCC,ISPOSC,B,30,B,DEFAULT\,
BKCMACCC,ISPOSC,B99,30,B,TESTDATA\,
BKCMACCL,BKCMACCL,B,15,B,DEFAULT\,
BKCMACCL,BKCMACCL,B99,15,B,TESTDATA\,
BKCMACCL,BKCMEACC,B,15,B,DEFAULT\,
BKCMACCL,BKCMEACC,B99,15,B,TESTDATA\,
BKCMACCL,ISBRANDS,B,15,B,DEFAULT\,
BKCMACCL,ISBRANDS,B99,15,B,TESTDATA\,
BKCMACCL,ISPOS,B,15,B,DEFAULT\,
BKCMACCL,ISPOS,B99,15,B,TESTDATA\,
BKCMACCN,BKAPACCN,B,4251,B,DEFAULT\,
BKCMACCN,BKAPACCN,B99,4251,B,TESTDATA\,
BKCMACCN,BKCMACCN,B,4251,B,DEFAULT\,
BKCMACCN,BKCMACCN,B99,4251,B,TESTDATA\,
BKCMACCT,BKCMACCT,B,1014,B,DEFAULT\,
BKCMACCT,BKCMACCT,B99,1014,B,TESTDATA\,
BKCMACCT,BKCMDE,B,1014,B,DEFAULT\,
BKCMACCT,BKCMDE,B99,1014,B,TESTDATA\,
BKCMACCT,BKCMEACT,B,1014,B,DEFAULT\,
BKCMACCT,BKCMEACT,B99,1014,B,TESTDATA\,
BKCMACFC,BKCMACFC,B,33,B,DEFAULT\,
BKCMACFC,BKCMACFC,B99,33,B,TESTDATA\,
BKCMACTD,BKCMACTD,B,116,B,DEFAULT\,
BKCMACTD,BKCMACTD,B99,116,B,TESTDATA\,
BKCMACTD,BKCMEACD,B,116,B,DEFAULT\,
BKCMACTD,BKCMEACD,B99,116,B,TESTDATA\,
BKCMACTD,TEMPOLD,B,116,B,DEFAULT\,
BKCMACTD,TEMPOLD,B99,116,B,TESTDATA\,
BKCMACTF,BKCMACTF,B,331,B,DEFAULT\,
BKCMACTF,BKCMACTF,B99,331,B,TESTDATA\,
BKCMACTF,BKCMEACF,B,331,B,DEFAULT\,
BKCMACTF,BKCMEACF,B99,331,B,TESTDATA\,
BKCMACTH,BKCMACTH,B,201,B,DEFAULT\,
BKCMACTH,BKCMACTH,B99,201,B,TESTDATA\,
BKCMACTH,BKCMEACH,B,201,B,DEFAULT\,
BKCMACTH,BKCMEACH,B99,201,B,TESTDATA\,
BKCMCNTD,BKCMCNTD,B,252,B,DEFAULT\,
BKCMCNTD,BKCMCNTD,B99,252,B,TESTDATA\,
BKCMCTRL,BKCMCTL1,B,10,B,DEFAULT\,
BKCMCTRL,BKCMCTL1,B99,10,B,TESTDATA\,
BKCMCTRL,BKCMCTL2,B,10,B,DEFAULT\,
BKCMCTRL,BKCMCTL2,B99,10,B,TESTDATA\,
BKCMCTRL,BKCMCTL3,B,10,B,DEFAULT\,
BKCMCTRL,BKCMCTL3,B99,10,B,TESTDATA\,
BKCMCTRL,BKCMCTL4,B,10,B,DEFAULT\,
BKCMCTRL,BKCMCTL4,B99,10,B,TESTDATA\,
BKCMCTRL,BKCMCTRL,B,10,B,DEFAULT\,
BKCMCTRL,BKCMCTRL,B99,10,B,TESTDATA\,
BKCMDTCD,BKCMDTCD,B,27,B,DEFAULT\,
BKCMDTCD,BKCMDTCD,B99,27,B,TESTDATA\,
BKCMDUN,BKCMDUN,B,482,B,DEFAULT\,
BKCMDUN,BKCMDUN,B99,482,B,TESTDATA\,
BKCMDUNH,BKCMDUNH,B,47,B,DEFAULT\,
BKCMDUNH,BKCMDUNH,B99,47,B,TESTDATA\,
BKCMFORM,BKCMFORM,B,132,B,DEFAULT\,
BKCMFORM,BKCMFORM,B99,132,B,TESTDATA\,
BKCMFTME,BKCMEFTM,B,53,B,DEFAULT\,
BKCMFTME,BKCMEFTM,B99,53,B,TESTDATA\,
BKCMFTME,BKCMFTME,B,53,B,DEFAULT\,
BKCMFTME,BKCMFTME,B99,53,B,TESTDATA\,
BKCMHCD2,BKCMHCD2,B,50,B,DEFAULT\,
BKCMHCD2,BKCMHCD2,B99,50,B,TESTDATA\,
BKCMHCOD,BKCMHCOD,B,85,B,DEFAULT\,
BKCMHCOD,BKCMHCOD,B99,85,B,TESTDATA\,
BKCMLEAD,BKCMLEAD,B,30,B,DEFAULT\,
BKCMLEAD,BKCMLEAD,B99,30,B,TESTDATA\,
BKCMMHST,BKCMMHST,B,384,B,DEFAULT\,
BKCMMHST,BKCMMHST,B99,384,B,TESTDATA\,
