table,pk_segment,pk_field,field_type,field_size,flags
BKPISER,3,BKPI_SER_LOC,0,10,DUP
BKPISER,4,BKPI_SER_CODE,0,15,DUP
BKPISER,5,BKPI_SER_SERIAL,0,25,DUP
BKPOX,1,BKPOX_POSTDATE,3,4,DUP
BKPOXH,1,BKPOX_POSTDATE,3,4,DUP
BKPRACOM,1,BKPR_COMM_SLSP,14,2,DUP
BKPRAGNT,1,BKPR_AGNT_NUM,14,2,DUP
BKPRBOOK,1,BKPR_SLS_EMPNUM,14,2,DUP
BKPRCOMM,1,BKPR_COMM_SLSP,14,2,DUP
BKPRCURP,1,BKPR_CURP_EMPNM,14,2,DUP
BKPRFTAX,1,BKPR_TAX_CODE,0,3,DUP
BKPRGLFL,1,BKPR_GL_STCODE,0,2,DUP
BKPRHCOM,1,BKPR_COMM_SLSP,14,2,DUP
BKPRHIST,1,BKPR_CURP_EMPNM,14,2,DUP
BKPRINFO,1,BKPR_INFO_NUM,14,2,DUP
BKPRMSTR,1,BKPR_EMP_NUM,14,2,DUP
BKPRSALE,1,BKPR_SLS_EMPNUM,14,2,DUP
BKPRSTFL,1,BKPR_ST_STCODE,0,2,DUP
BKPRTC,1,BKPR_TC_EMP,14,2,DUP
BKPRTCFG,1,BKPRT_CFG_KEY,0,2,DUP
BKPRW2,1,BKPR_EMP_NUM,14,2,DUP
BKPSUSER,1,BKPS_USER_CODE,0,15,DUP
BKQCMSTR,1,BKQC_VEND_CODE,0,10,DUP
BKQCMSTR,2,BKQC_RECV_DATE,3,4,DUP
BKQCMSTR,3,BKQC_PO_NUM,2,8,DUP
BKQCMSTR,4,BKQC_RECVR_NUM,2,8,DUP
BKQCMSTR,5,BKQC_POL_ITM_NO,0,10,DUP
BKQCTRAN,1,BKQC_TRN_PO,2,8,DUP
BKQCTRAN,2,BKQC_TRN_RECVNM,2,8,DUP
BKQTNOTE,1,BK_DESC_CODE,0,15,DUP
BKQTTEMP,1,BK_DESC_CODE,0,15,DUP
BKRFQ,1,BKRFQ_NUM,2,8,DUP
BKRFQDES,1,BK_DESC_CODE,0,15,DUP
BKRTCST,1,BKRT_QUOTE,2,8,DUP
BKRTEMTR,1,MTRO_CODE,0,15,DUP
BKRTSPEC,1,BKRT_SPEC_PART,0,15,DUP
BKRTTEMP,1,BKRT_TEMP_CODE,0,15,DUP
BKSAREPT,1,BKSA_TYPE,0,8,DUP
BKSAREPT,2,BKSA_NAME,0,15,DUP
BKSBMFG,1,BKSB_MFG_PARNT,0,15,DUP
BKSBMFG,2,BKSB_MFG_PROD,0,15,DUP
BKSBMFG,3,BKSB_MFG_CUST,0,10,DUP
BKSBMFG,4,BKSB_MFG_MANUF,0,25,DUP
BKSBPART,1,BKSB_PART_PARNT,0,15,DUP
BKSBPART,2,BKSB_PART_PROD,0,15,DUP
BKSBPART,3,BKSB_PART_CUST,0,10,DUP
BKSBVEND,1,BKSB_VEND_PARNT,0,15,DUP
BKSBVEND,2,BKSB_VEND_PROD,0,15,DUP
BKSBVEND,3,BKSB_VEND_CUST,0,10,DUP
BKSHORT,1,BK_SHORT_PCODE,0,15,DUP
BKSOHLOT,1,BKAR_TXN_SONUM,2,8,DUP
BKSOHSER,1,BKAR_TXN_SONUM,2,8,DUP
BKSOLOCK,1,BKSO_LOCK_REC,0,10,DUP
BKSONOTE,1,BK_DESC_CODE,0,15,DUP
BKSOPO,1,BKMRP_PO_VEND,0,10,DUP
BKSOX,1,BKSOX_POSTDATE,3,4,DUP
BKSOXH,1,BKSOX_POSTDATE,3,4,DUP
BKSYAP,1,BKSY_AP_PONUM,2,8,DUP
BKSYAR,1,BKSY_AR_TRXN,2,8,DUP
BKSYCFG,1,BKSY_CFG_ACCTG,0,1,DUP
BKSYLOG,1,BKSY_LOGON_CODE,0,15,DUP
BKSYMSTR,1,BKSY_ARINV_NUM,2,8,DUP
BKSYPRTR,1,BKSY_PRTR_NAME,0,30,DUP
BKUMSRTY,1,SCRTY_LEVEL,0,2,DUP
BKUMSRTY,2,SCRTY_MENU,14,2,DUP
BKWOPO,1,BKMRP_PO_VEND,0,10,DUP
BKYSMSTR,1,BKYS_WONUM,2,8,DUP
BOMCHG,1,BOM_CHG_PARENT,0,15,DUP
BOMCHG,2,BOM_CHG_COMP,0,15,DUP
BOMCHG,3,BOM_CHG_CDATE,3,4,DUP
BUCKETS,1,BUK_WOPRE,2,8,DUP
BUCKETS,2,BUK_WOSUF,14,2,DUP
CALENDAR,1,MTCAL_DATE,3,4,DUP
CALTEMP,1,SHP_DATE,2,8,DUP
CCEDIXRF,1,CC_EDI_CUSTCODE,0,10,DUP
CLASMSTR,1,MTCLASS_M_CLASS,0,4,
CLASS,1,MTCLASS_CLASS,0,4,DUP
CUSTCLAS,1,MTCLASS_M_CLASS,0,4,
DBACNAME,1,CNAME_CODE,0,2,DUP
DBAFIFO,1,FIFO_PARTNO,0,15,DUP
DBAFIFO,2,FIFO_RECVDATE,3,4,DUP
DISCOUNT,1,BKIC_PMAT_CUST,0,10,DUP
DPTMENT,1,DPT_CODE,0,4,DUP
EIMCOLST,1,EIMCO_DEPT,0,30,DUP
EMERSNGL,1,BKGL_ACCT,0,10,DUP
ESTCHGS,1,MTESCH_QUOTE,2,8,
ESTMAT,1,MTESMAT_QUOTE,2,8,
ESTROUT,1,MTESRO_QUOTE,2,8,DUP
ESTSUM,1,MTESUM_QUOTE,2,8,DUP
HELPURL,1,HELP_URL_REF,0,10,
INVATXN,1,MTIT_TYPE,0,1,DUP
INVETXN,1,MTIT_TYPE,0,1,DUP
INVTXN,1,MTIT_TYPE,0,1,DUP
IS2DBAR,1,IS2D_BAR_CODE,0,10,DUP
IS2DBAR,2,IS2D_BAR_TYPE,0,10,DUP
