code,module,description,rwn/run_modules,dfm_forms,help_title
SO-R,SO,Void Invoice,BKSOGA;BKSOR;ISSRGA,T7SOR.DFM;T7SORevu.DFM;T7SORevuPSWD.dfm,Void Invoice
SO-S-B,SO,Print Return Authorizations,JKSOSB;T6jksosb,,
SO-T,SO,View,BKSOA;BKSOA2;BKSOJ;BKSOJ2;t6SOJ,,View Sales Orders
SO-U,SO,Convert Sales Orders to Purchase Orders,CRSOPO;ISSOPO,,
SO-X,SO,Mass Void Invoice,ISMASVOD,,
SR-A,SR,View Service/Repair Orders,ISSRA;ISSRA2;j6btsra,,Enter Service Repair Order
SR-B,SR,Print S/R or Quotes,ISSRB;T6ISSRB,T7SRB.DFM;T7SRBK.DFM,Print Service Repair Order
SR-C,SR,Convert Service/Repair Orders,BKSON;ISSRC;ISSRCMSG,,Convert S R Order To Work Order
SR-D,SR,Print S/R Pick Ticket,ISSRD;T6ISSRD,T7SRD.DFM,Print S R Packing Slip
SR-E,SR,Release Service/Repair Orders,ISSRE,T7SRE.DFM,Release S R Order
SR-F,SR,Print/Reprint S/R Invoices,ISSRF;T6ISSRF,T7SRF.DFM,Print S R Invoice
SR-G,SR,Post Service/Repair Invoices,ISSRG,T7SRG.DFM;T7SRGA.DFM,Post S R Invoice
SR-H,SR,Convert RMA Orders,ISSRH,,
SR-I,SR,Void S R Invoice,,,Void S R Invoice
SR-T,SR,View Service/Repair Orders,ISSRA;ISSRA2;j6btsra,,
SU-A,SU,Maintain Grid Lookups,,,Maintain Grid Lookups
SU-B,SU,Maintain Drill Down Menus,,,Maintain Drill Down Menus
SU-C,SU,Forms Editor,,,Forms Editor
SU-D,SU,Grid Maintenance,,,Grid Maintenance
TA-D,TA,Maintain Database,,,Maintain Database
TA-G,TA,Maintain Menu Access Records,,,Maintain Menu Access Records
TA-M,TA,Forms Editor,,,Forms Editor
TA-N,TA,Program Scheduler,,,Program Scheduler
TA-O,TA,Backup Utility,,,Backup Utility
TA-Q,TA,Change Logo Image,,,Change Logo Image
TA-R,TA,Sql Editor,,,Sql Editor
TA-S,TA,Data Dictionary Check,,,Data Dictionary Check
US-A,US,Customize Settings,,,Customize Settings
US-B,US,Customize Menu,,,Customize Menu
US-C,US,Reser Screen Size Location,,,Reser Screen Size Location
US-D,US,Reset Password,,,Reset Password
US-E,US,Update Po Electronic Signature Info,,,Update Po Electronic Signature Info
US-F,US,Enter Reminders,,,Enter Reminders
US-G,US,Enter Triggers,,,Enter Triggers
US-H,US,Update Contract Review Password,,,Update Contract Review Password
UT-A,UT,Run a DBA Program,BKUTA,,Run A Tas Program
UT-B,UT,Run a Non-DBA Program,BKUTB,,
UT-C,UT,Re-Index File,BKUTC,,Reindex File
UT-D,UT,Edit Data Location File,BKUTD,,Edit Data Location File
UT-E,UT,Set System Configuration,BKUTE,,
UT-F,UT,Change DOS Color,BKUTF;BKUTMW,,
UT-H,UT,Print File Layouts,BKUTH;T6UTH,T7UTH.DFM,Print File Layouts
UT-I,UT,Create/Delete Company,BKUTI;ISFLOC;t6uti,t7uti.DFM,Create Delete Company
UT-J,UT,Generate DDF Files,BKUTJ,,
UT-K,UT,Export Data,BKUTK,T7UTKA.DFM;T7UTKD.DFM;T7UTKE.DFM;T7UTKF.DFM;T7UTKG.DFM;T7UTKH.DFM,
UT-K-A,UT,Clear Data,BKUTKA;t6utka,T7UTKA.DFM,Clear Data
UT-K-B,UT,Global Field Replace,BKUTKB,,Global Field Replace
UT-K-C,UT,Edit GL Detail File,BKUTKC,,
UT-K-D,UT,Recalculate GL Chart of Accounts,BKUTKD,T7UTKD.DFM,Recalc Gl Chart Of Accounts
UT-K-E,UT,Consolidate Inventory Locations,BKUTKE,T7UTKE.DFM,Consolidate Inventory Locations
UT-K-F,UT,Set Avg and Last Costs to Std Cost,AUTOUTKF;BKUTKF,T7UTKF.DFM,Set Avg And Last Cost To Std Cost
UT-K-G,UT,Recalculate Inventory Book Value,AUTOUTKG;BKUTKG,T7UTKG.DFM,Recalc Inventory Book Value
UT-K-H,UT,Recalculate Average Cost from FIFO/LIFO Buckets,BKUTKH,T7UTKH.DFM,
UT-K-I,UT,Fix Binary Zeroes,AUTOUTKI;BKUTKI,,Fix Binary Zeroes
UT-L,UT,Set Screen Color,BKUTFW,,
WC-A,WC,Enter Warehouse Bin Locations,ISWCA,T7WCA.DFM,Enter Warehouse Bin Locations
WC-B,WC,Assign Warehouse Control,ISWCB,T7WCB.DFM;T7WCBK.DFM;T7WCBinLot.DFM,Assign Warehouse Control
WC-C,WC,Assign Bin Locations to Items,ISWCC;t6iswcc,T7WCC.DFM,Assign Bin Locations To Items
WC-D,WC,Import Bin Locations for Items,ISWCD,T7WCD.DFM,
WC-E,WC,Print Bin Inventory Listing,ISWCE;T6ISWCE,T7WCE.DFM,Print Bin Inventory Listing
WC-F,WC,Warehouse Control Exceptions Report,ISWCF;T6ISWCF,T7WCF.DFM,Warehouse Control Exceptions Report
WO-A,WO,Enter Work Orders,BKWOA;ISTECH;ISWORPT1,T7WOA.DFM;T7WOAC.DFM;T7WOACFG.DFM;T7WOACPY.DFM;T7WOAE.DFM;T7WOAECO.DFM;T7WOAMDT.DFM;T7WOASOLINES.DFM,Enter Work Orders
WO-A-A,WO,Enter Work Orders - ECO Drawing Entry,BKWOA,,
WO-B,WO,Change WO Status,BKWOB;ISWORPT2,T7WOB.DFM,Release Work Orders
WO-C,WO,Special Work Order Report,J5SMRPT3,T7WOC.DFM,Print Travelers
WO-D,WO,Print Pick Lists,BKWOD,T7WOD.DFM;T7WODATES.DFM,Print Pick Lists
WO-E,WO,Print Labor Cards/Labels,BKWOE;T6WOE,T7WOE.DFM,Print Labor Cards Labels
WO-F,WO,Enter Labor,BKWOF,T7WOF.DFM;T7WOFA.DFM,Enter Labor
WO-G,WO,Enter WO BOM,BKWOG;BKWOKB;ISWOG,T7WOG.DFM;t7wogimp.DFM,Issue Materials
WO-H,WO,Enter Misc/Extra Costs,BKWOH,T7WOH.DFM,Entermisc Extra Costs
WO-I,WO,Enter Finished Production,BKWOFA;BKWOI;BKWOIP~1;ISMULTIY;ISTECH,T7WOI.DFM;T7WOIASK.DFM,Enter Finished Production
WO-J,WO,Rebuild Work Orders,BKREBWO;BKWOJ;ISTECH,T7WOJ.DFM;T7WOJPRESERIALS.DFM,Close Cancel Orders
WO-K-A,WO,Enter Work Order Routings,BKWOKA,T7WOKA.DFM;T7WOKACOPYROUT.DFM;T7WOKAOPTS.DFM,Enter Work Order Routings
WO-K-B,WO,Enter WO BOM,BKWOKB,T7WOKB.DFM,Enter Work Order Bills Of Material
WO-K-C,WO,Create Multi-Date Work Orders,BKWOKC,T7WOKC.DFM,
WO-K-D,WO,Create Multi-Assy Work Orders,BKWOKD,T7WOKD.DFM;T7WOKDQTY.DFM,
WO-K-E,WO,Swap Substitute Parts,BKWOKE,T7WOKE.DFM,Swap Substitute Parts
WO-K-F,WO,Edit Sequence Started/Finished Dates,BKWOKF,T7WOKF.DFM,Edit Sequence Started Finished Dates
WO-K-G,WO,Recalculate Projected Hours,BKWOKG,T7WOKG.DFM,Recalculate Projected Hours
WO-K-H,WO,Recalculate Work Order Costs,,,Recalculate Work Order Costs
WO-K-I,WO,Kitting System,,,Kitting System
WO-K-J,WO,Synchronize Work Order To Master Bom And Routing,,,Synchronize Work Order To Master Bom And Routing
WO-K-K,WO,Edit Posted Dc Labor,,,Edit Posted Dc Labor
WO-K-L,WO,Quick Work Orders,NZQWO,T7WOKL.DFM,Quick Work Order
WO-K-M,WO,Parts Requester,,,Parts Requester
WO-K-N,WO,Stockroom Program,,,Stockroom Program
WO-K-O,WO,Enter Component Serial ,,,Enter Component Serial 
WO-K-P,WO,Enter Component Lot Inf,,,Enter Component Lot Inf
WO-K-Q,WO,Convert Wo To Po,,,Convert Wo To Po
WO-K-R,WO,Issue Scrap Component,,,Issue Scrap Component
WO-K-S,WO,Assign Wo To Bin,,,Assign Wo To Bin
WO-L-A,WO,Print Work Order Status,t6wola,T7WOLA.DFM,Print Work Order Status
WO-L-B,WO,Print Work Order Schedule,,,Print Work Order Schedule
WO-L-C,WO,Print Work Center Backlog,BKWOLC,T7WOLC.DFM,Print Work Center Backlog
WO-L-D,WO,Print Projected Shipments,BKWOLD,T7WOLD.DFM,Print Projected Shipments
WO-L-E,WO,Print/Post Labor to Payroll,BKWOLE,T7WOLE.DFM,Print Post Labor To Payroll
WO-L-F,WO,Print Work Order Shortage,BKWOLF;t6wolf,T7WOLF.DFM,Print Work Order Shortages
WO-L-G,WO,Print Work Center by Key Component,BKWOLG,T7WOLG.DFM,Print Work Center By Key Component
WO-L-H,WO,Print Projected Hours Report,BKWOLH,T7WOLH.DFM,Print Projected Vs Estimated Hours
WO-L-I,WO,Print Allocations,BKWOLI,T7WOLI.DFM,Print Allocations
WO-L-J,WO,Print Finished Work Order Report,ISWOLJ,T7WOLJ.DFM,Print Work Order Comple
WO-L-K,WO,Print Wo Bills Of Mater,,,Print Wo Bills Of Mater
WO-L-L,WO,Print Wo Component Labe,,,Print Wo Component Labe
WO-L-M,WO,Print Material Summary,,,Print Material Summary
WO-L-N,WO,Wo Bom For Purchasing,,,Wo Bom For Purchasing
WO-M,WO,Batch Labor Entry,BKDCG;BKDCGMSG;CBKWOM;J5HDWOM,,Batch Labor Entry
WO-N,WO,Post Labor Batches,AUTODCH;BKDCH;UMCDCP,T7WONoteTLL.DFM,Post Labor Batches
WO-O,WO,Post Material Transactions,,,Post Material Transactions
WO-P,WO,Batch Finished Production,,,Batch Finished Production
WO-Q,WO,Convert Work Orders to Purchase Orders,CAWOPO;ISWOPO,,Work Order Inquiry
WO-R,WO,Work Order Defaults,,,Work Order Defaults
WO-S,WO,Print Work Order Labels,,,Print Work Order Labels
WO-T,WO,Enter Rework Work Order,,,Enter Rework Work Order
