code,module,description,rwn/run_modules,dfm_forms,help_title
DE-H-A,DE,Import Labor,BKDEHA,,
DE-H-B,DE,Import Material Issues,BKDEHB,,
DE-H-C,DE,Import Finished Production,BKDEHC,,
DE-H-D,DE,Import Physical Inventory Count,BKDEHD,T7DEHD.DFM,
DE-I,DE,Erase Files,,,Erase Files
DE-I-A,DE,Print Inventory Errors,BKDEIA,,
DE-I-B,DE,Print Bills of Material Errors,BKDEIB,,
DE-I-C,DE,Print Routings Errors,BKDEIC,,
DE-I-D,DE,Print Chart of Accounts Errors,BKDEID,,
DE-I-E,DE,Print Labor Errors,BKDEIE,,
DE-J-A,DE,Edit Imported Inventory,BKDEJA;BKINB;t6INB;t6INBC,,Import Post Labor
DE-J-C,DE,Edit Imported Routings,BKDEJC;BKROA,,
DE-J-D,DE,Edit Imported Customers,BKARA,,
DE-J-E,DE,Edit Imported Vendors,BKAPA;BKPOP,,
DE-J-F,DE,Edit Imported Chart of Accounts,BKDEJF,,
DE-J-G,DE,Edit Imported Labor,BKDEJG,,
DE-J-H,DE,Imported Material Issue,BKDEJH,T7DEJH.DFM,
DE-J-I,DE,Edit Imported WO Receipts,BKDEJI,,
DE-K,DE,Global Field Change,BKDEK,T7DEK.DFM,
DE-K-A,DE,Import Post Material Issues,,,Import Post Material Issues
DE-L,DE,Erase Files,BKDEL,T7DEL.DFM,
DE-L-A,DE,Import Post Work Order Receipts,,,Import Post Work Order Receipts
DE-M,DE,MR-D     IN-L-,BKDEM;ISSMJS,T7DEM.DFM,Import Physical Inventory Counts
DE-O,DE,Export GL Data to QuickBooks,BKDEO,,
DE-Q,DE,Import Open Receivables,ISDEQ,T7DEQ.DFM,
DE-R,DE,Import Open Payables,ISDER,T7DER.DFM,
DE-S,DE,Import Item Links,ISILDE,,
DE-T,DE,Import FIFO Layers,ISDET,T7DET.DFM;T7DETB.DFM,Impoer Web Storefront Ord
DE-U,DE,Upload Stock Balance To W,,,Upload Stock Balance To W
