code,module,operation,group,module_name,menu_text,program
WOKH,WO,KH,Mfg,Work Orders,&H - Rebuild Work Order Costs,t7rebwo.rwn
WOKI,WO,KI,Mfg,Work Orders,&I - Kitting System,t7kit.rwn
WOKJ,WO,KJ,Mfg,Work Orders,&J - Synch WO BOM and Routing,j7ptwoki.rwn
WOKK,WO,KK,Mfg,Work Orders,&K - Edit Posted DC Labor,t7wokk.rwn
WOKL,WO,KL,Mfg,Work Orders,&L - Quick Work Order,T7WOKL.RWN
WOKM,WO,KM,Mfg,Work Orders,&M - Parts Requester,t7wokm.rwn
WOKN,WO,KN,Mfg,Work Orders,&N - Stockroom Program,t7wokn.rwn
WOKO,WO,KO,Mfg,Work Orders,&O - Map Component Serial to Parent,T7WOKO.RWN
WOKP,WO,KP,Mfg,Work Orders,&P - Map Component Lot to Parent,T7WOKP.RWN
WOKQ,WO,KQ,Mfg,Work Orders,&Q - Convert WO to PO,T7WOPO.RWN
WOKR,WO,KR,Mfg,Work Orders,&R - Issue Scrap Component,t7hhwoscrap.rwn
WOKS,WO,KS,Mfg,Work Orders,&S - Assign WO to Bin,t7woks.rwn
WOKT,WO,KT,Mfg,Work Orders,&T - Print Issued Part Requests,t7wokt.rwn
WOL,WO,L,Mfg,Work Orders,&L - Reports,
WOLA,WO,LA,Mfg,Work Orders,&A - Print Work Order Status,t7wola.rwn
WOLB,WO,LB,Mfg,Work Orders,&B - Print Work Order Schedule,t7wolb.rwn
WOLC,WO,LC,Mfg,Work Orders,&C - Print Work Center Backlog,t7wolc.rwn
WOLD,WO,LD,Mfg,Work Orders,&D - Print Projected Shipments,t7wold.rwn
WOLE,WO,LE,Mfg,Work Orders,&E - Print/Post Labor to Payroll,t7wole.rwn
WOLF,WO,LF,Mfg,Work Orders,&F - Print Work Order Shortages,t7wolf.rwn
WOLG,WO,LG,Mfg,Work Orders,&G - Print Work Center by Key Component,bkwolg.run
WOLH,WO,LH,Mfg,Work Orders,&H - Print Projected vrs Estimated hrs,t7wolh.rwn
WOLI,WO,LI,Mfg,Work Orders,&I - Print Allocations,T7woli.rwn
WOLJ,WO,LJ,Mfg,Work Orders,&J - Print Work Order Completions,t7wolj.rwn
WOLK,WO,LK,Mfg,Work Orders,&K - Print Work Order Bill of Materials,t7wolk.rwn
WOLL,WO,LL,Mfg,Work Orders,&L - Print Work Order Component Labels,j7woll.rwn
WOLM,WO,LM,Mfg,Work Orders,&M - Print Material Summary,t7wolm.rwn
WOLN,WO,LN,Mfg,Work Orders,&N - WO BOM for Purchasing,t7woln.rwn
WOM,WO,M,Mfg,Work Orders,&M - Batch Labor Entry,t7wom.rwn
WON,WO,N,Mfg,Work Orders,&N - Post Labor Batches,t7dch.rwn
WOO,WO,O,Mfg,Work Orders,&O - Post Material Issues,t7dejh.rwn
WOP,WO,P,Mfg,Work Orders,&P - Batch Finished Production,t7wop.rwn
WOQ,WO,Q,Mfg,Work Orders,&Q - Work Order Inquiry,T7WOT.rwn
WOR,WO,R,Mfg,Work Orders,&R - Work Order Defaults,T7DSWO.RWN
WOS,WO,S,Mfg,Work Orders,&S - Print WOrk Order Labels,T7WOS.RWN
WOT,WO,T,Mfg,Work Orders,&T - Enter Rework Work Order,T7WOTRWK.RWN
