logical_table,physical_file,location
BKARINVL,ISARAIVL,DEFAULT
BKARINVL,ISESALNE,DEFAULT
BKARINVL,ISESTAQL,DEFAULT
BKARINVL,ISESTLNE,DEFAULT
BKARINVL,ISRMAIVL,DEFAULT
BKARINVL,ISRMINVL,DEFAULT
BKARINVL,ISSEDL,DEFAULT
BKARINVL,ISSESL,DEFAULT
BKARINVL,ISSQTL,DEFAULT
BKARINVL,ISSRAIVL,DEFAULT
BKARINVL,ISSRCL,DEFAULT
BKARINVL,ISSRINVL,DEFAULT
BKARINVL,ISSRMIVL,DEFAULT
BKARINVL,ISSRML,DEFAULT
BKARINVL,ISSSOL,DEFAULT
BKARINVL,ISSSRL,DEFAULT
BKARINVL,BKARHIVL,TESTDATA
BKARINVL,BKARINVL,TESTDATA
BKARINVL,BKARRIVL,TESTDATA
BKARINVL,BKARSIVL,TESTDATA
BKARINVL,BKEDIL,TESTDATA
BKARINVL,BKESTQTL,TESTDATA
BKARINVL,ISARAHIL,TESTDATA
BKARINVL,ISARAIVL,TESTDATA
BKARINVL,ISESALNE,TESTDATA
BKARINVL,ISESTAQL,TESTDATA
BKARINVL,ISESTLNE,TESTDATA
BKARINVL,ISRMAIVL,TESTDATA
BKARINVL,ISRMINVL,TESTDATA
BKARINVL,ISSEDL,TESTDATA
BKARINVL,ISSESL,TESTDATA
BKARINVL,ISSQTL,TESTDATA
BKARINVL,ISSRAIVL,TESTDATA
BKARINVL,ISSRCL,TESTDATA
BKARINVL,ISSRINVL,TESTDATA
BKARINVL,ISSRMIVL,TESTDATA
BKARINVL,ISSRML,TESTDATA
BKARINVL,ISSSOL,TESTDATA
BKARINVL,ISSSRL,TESTDATA
BKARINVT,BKAREIVT,DEFAULT
BKARINVT,BKARINVT,DEFAULT
BKARINVT,ISARAINT,DEFAULT
BKARINVT,BKAREIVT,TESTDATA
BKARINVT,BKARINVT,TESTDATA
BKARINVT,ISARAINT,TESTDATA
BKARINVV,BKARINVV,DEFAULT
BKARINVV,ISARAIVV,DEFAULT
BKARINVV,BKARINVV,TESTDATA
BKARINVV,ISARAIVV,TESTDATA
BKART,ARTTEMP,DEFAULT
BKART,BKART,DEFAULT
BKART,ISARAT,DEFAULT
BKART,ARTTEMP,TESTDATA
BKART,BKART,TESTDATA
BKART,ISARAT,TESTDATA
BKARTNOT,BKARTNOT,DEFAULT
BKARTNOT,ISARATNT,DEFAULT
BKARTNOT,BKARTNOT,TESTDATA
BKARTNOT,ISARATNT,TESTDATA
BKARTXN,BKARTXN,DEFAULT
BKARTXN,BKARTXNB,DEFAULT
BKARTXN,BKARTXNS,DEFAULT
BKARTXN,BKSOHLOT,DEFAULT
BKARTXN,BKSOHSER,DEFAULT
BKARTXN,ISARATXN,DEFAULT
BKARTXN,ISARATXS,DEFAULT
BKARTXN,ISRMATXN,DEFAULT
BKARTXN,ISRMATXS,DEFAULT
BKARTXN,ISRMTXN,DEFAULT
BKARTXN,ISRMTXNS,DEFAULT
BKARTXN,ISSOALOT,DEFAULT
BKARTXN,ISSOASER,DEFAULT
BKARTXN,ISSRATXN,DEFAULT
BKARTXN,ISSRATXS,DEFAULT
BKARTXN,ISSRTXN,DEFAULT
BKARTXN,ISSRTXNS,DEFAULT
BKARTXN,BKARTXN,TESTDATA
BKARTXN,BKARTXNB,TESTDATA
BKARTXN,BKARTXNS,TESTDATA
BKARTXN,BKSOHLOT,TESTDATA
BKARTXN,BKSOHSER,TESTDATA
BKARTXN,ISARATXN,TESTDATA
BKARTXN,ISARATXS,TESTDATA
BKARTXN,ISRMATXN,TESTDATA
BKARTXN,ISRMATXS,TESTDATA
BKARTXN,ISRMTXN,TESTDATA
BKARTXN,ISRMTXNS,TESTDATA
BKARTXN,ISSOALOT,TESTDATA
BKARTXN,ISSOASER,TESTDATA
BKARTXN,ISSRATXN,TESTDATA
BKARTXN,ISSRATXS,TESTDATA
BKARTXN,ISSRTXN,TESTDATA
BKARTXN,ISSRTXNS,TESTDATA
BKBMCNFG,BKBMCNFG,DEFAULT
BKBMCNFG,BKBMCNFG,TESTDATA
BKBMDIM,BKBMDIM,DEFAULT
BKBMDIM,BKBMDIM,TESTDATA
BKBMMSTR,BKBMAMTR,DEFAULT
BKBMMSTR,BKBMAVAL,DEFAULT
BKBMMSTR,BKBMEMTR,DEFAULT
BKBMMSTR,BKBMMSTR,DEFAULT
BKBMMSTR,BKBMSUMM,DEFAULT
BKBMMSTR,ISBMESA,DEFAULT
BKBMMSTR,ISBMEST,DEFAULT
BKBMMSTR,ISBMTMP,DEFAULT
BKBMMSTR,BKBMAMTR,TESTDATA
BKBMMSTR,BKBMAVAL,TESTDATA
BKBMMSTR,BKBMEMTR,TESTDATA
BKBMMSTR,BKBMMSTR,TESTDATA
BKBMMSTR,BKBMSUMM,TESTDATA
BKBMMSTR,ISBMESA,TESTDATA
BKBMMSTR,ISBMEST,TESTDATA
BKBMMSTR,ISBMTMP,TESTDATA
BKBMNOTE,BKBMNOTE,DEFAULT
BKBMNOTE,BKBMNOTE,TESTDATA
BKBMREMK,BKBMERMK,DEFAULT
BKBMREMK,BKBMREMK,DEFAULT
BKBMREMK,BKBMERMK,TESTDATA
BKBMREMK,BKBMREMK,TESTDATA
BKCMACCC,BKCMACCC,DEFAULT
BKCMACCC,ISBRANDC,DEFAULT
BKCMACCC,ISPOSC,DEFAULT
BKCMACCC,BKCMACCC,TESTDATA
BKCMACCC,ISBRANDC,TESTDATA
BKCMACCC,ISPOSC,TESTDATA
BKCMACCL,BKCMACCL,DEFAULT
BKCMACCL,BKCMEACC,DEFAULT
BKCMACCL,ISBRANDS,DEFAULT
BKCMACCL,ISPOS,DEFAULT
BKCMACCL,BKCMACCL,TESTDATA
BKCMACCL,BKCMEACC,TESTDATA
BKCMACCL,ISBRANDS,TESTDATA
BKCMACCL,ISPOS,TESTDATA
BKCMACCN,BKAPACCN,DEFAULT
BKCMACCN,BKCMACCN,DEFAULT
BKCMACCN,BKAPACCN,TESTDATA
BKCMACCN,BKCMACCN,TESTDATA
BKCMACCT,BKCMACCT,DEFAULT
BKCMACCT,BKCMDE,DEFAULT
BKCMACCT,BKCMEACT,DEFAULT
BKCMACCT,BKCMACCT,TESTDATA
BKCMACCT,BKCMDE,TESTDATA
BKCMACCT,BKCMEACT,TESTDATA
BKCMACFC,BKCMACFC,DEFAULT
BKCMACFC,BKCMACFC,TESTDATA
BKCMACTD,BKCMACTD,DEFAULT
BKCMACTD,BKCMEACD,DEFAULT
BKCMACTD,TEMPOLD,DEFAULT
BKCMACTD,BKCMACTD,TESTDATA
BKCMACTD,BKCMEACD,TESTDATA
BKCMACTD,TEMPOLD,TESTDATA
BKCMACTF,BKCMACTF,DEFAULT
BKCMACTF,BKCMEACF,DEFAULT
BKCMACTF,BKCMACTF,TESTDATA
BKCMACTF,BKCMEACF,TESTDATA
BKCMACTH,BKCMACTH,DEFAULT
BKCMACTH,BKCMEACH,DEFAULT
BKCMACTH,BKCMACTH,TESTDATA
BKCMACTH,BKCMEACH,TESTDATA
BKCMCNTD,BKCMCNTD,DEFAULT
BKCMCNTD,BKCMCNTD,TESTDATA
BKCMCTRL,BKCMCTRL,DEFAULT
BKCMCTRL,BKCMCTRL,TESTDATA
BKCMDTCD,BKCMDTCD,DEFAULT
BKCMDTCD,BKCMDTCD,TESTDATA
BKCMDUN,BKCMDUN,DEFAULT
BKCMDUN,BKCMDUN,TESTDATA
BKCMDUNH,BKCMDUNH,DEFAULT
BKCMDUNH,BKCMDUNH,TESTDATA
BKCMFORM,BKCMFORM,DEFAULT
BKCMFORM,BKCMFORM,TESTDATA
BKCMFTME,BKCMEFTM,DEFAULT
BKCMFTME,BKCMFTME,DEFAULT
BKCMFTME,BKCMEFTM,TESTDATA
BKCMFTME,BKCMFTME,TESTDATA
BKCMHCOD,BKCMHCOD,DEFAULT
BKCMHCOD,BKCMHCOD,TESTDATA
BKCMLEAD,BKCMLEAD,DEFAULT
BKCMLEAD,BKCMLEAD,TESTDATA
BKCMMHST,BKCMMHST,DEFAULT
BKCMMHST,BKCMMHST,TESTDATA
BKCMPCFC,BKCMPCFC,DEFAULT
BKCMPCFC,BKCMPCFC,TESTDATA
BKCMPCNT,BKCMPCNT,DEFAULT
BKCMPCNT,BKCMPCNT,TESTDATA
BKCMPCTF,BKCMPCTF,DEFAULT
BKCMPCTF,BKCMPCTF,TESTDATA
BKCMPCTH,BKCMPCTH,DEFAULT
BKCMPCTH,BKCMPCTH,TESTDATA
BKCMREP,BKCMREP,DEFAULT
BKCMREP,BKCMREP,TESTDATA
BKCMSBDF,BKCMSBDF,DEFAULT
BKCMSBDF,BKCMSBDF,TESTDATA
BKCMTEMP,BKCMTEMP,DEFAULT
BKCMTEMP,BKCMTEMP,TESTDATA
BKCMTERR,BKCMTERR,DEFAULT
BKCMTERR,BKCMTERR,TESTDATA
BKCMVNDF,BKCMVNDF,DEFAULT
BKCMVNDF,BKCMVNDF,TESTDATA
BKCMVNDH,BKCMVNDH,DEFAULT
BKCMVNDH,BKCMVNDH,TESTDATA
BKCMVNFC,BKCMVNFC,DEFAULT
BKCMVNFC,BKCMVNFC,TESTDATA
BKCPEC,BKCPEC,DEFAULT
BKCPEC,BKCPEC,TESTDATA
BKCPMSTR,BKCPMSTR,DEFAULT
BKCPMSTR,BKCPMSTR,TESTDATA
BKDCCFG,BKDCCFG,DEFAULT
BKDCCFG,BKDCCFG,TESTDATA
BKDCLAB,BKDCCLAB,DEFAULT
BKDCLAB,BKDCHLAB,DEFAULT
BKDCLAB,BKDCLAB,DEFAULT
BKDCLAB,BKDCPLAB,DEFAULT
BKDCLAB,BKDCTLAB,DEFAULT
BKDCLAB,BKDCCLAB,TESTDATA
BKDCLAB,BKDCHLAB,TESTDATA
BKDCLAB,BKDCLAB,TESTDATA
BKDCLAB,BKDCPLAB,TESTDATA
BKDCLAB,BKDCTLAB,TESTDATA
BKDCSHFT,BKDCSHFT,DEFAULT
BKDCSHFT,BKDCSHFT,TESTDATA
BKEDIDUN,BKEDIDUN,DEFAULT
BKEDIDUN,BKEDIDUN,TESTDATA
BKEDMSTR,BKEDMSTR,DEFAULT
BKEDMSTR,BKEDMSTR,TESTDATA
BKEDNOTE,BKEDNOTE,DEFAULT
BKEDNOTE,BKEDNOTE,TESTDATA
BKEDPOST,BKEDPOST,DEFAULT
BKEDPOST,BKEDPOST,TESTDATA
BKESTCFG,BKESTCFG,DEFAULT
BKESTCFG,BKESTCFG,TESTDATA
BKFLDHLP,BKFLDHLP,DEFAULT
BKFLDHLP,BKFLDHLP,TESTDATA
BKFOCFG,BKFOCFG,DEFAULT
BKFOCFG,BKFOCFG,TESTDATA
BKGLCCOA,BKGLCCOA,DEFAULT
BKGLCCOA,BKGLCCOA,TESTDATA
BKGLCHK,BKGLACHK,DEFAULT
BKGLCHK,BKGLCHK,DEFAULT
BKGLCHK,BKGLICC,DEFAULT
BKGLCHK,BKGLACHK,TESTDATA
BKGLCHK,BKGLCHK,TESTDATA
BKGLCHK,BKGLICC,TESTDATA
BKGLCOA,BKGLCOA,DEFAULT
BKGLCOA,BKGLECOA,DEFAULT
BKGLCOA,BKGLFCOA,DEFAULT
BKGLCOA,EMERSNGL,DEFAULT
BKGLCOA,BKGLCOA,TESTDATA
BKGLCOA,BKGLECOA,TESTDATA
BKGLCOA,BKGLFCOA,TESTDATA
BKGLCOA,EMERSNGL,TESTDATA
BKGLFSTL,BKGLFSTL,DEFAULT
BKGLFSTL,BKGLFSTL,TESTDATA
BKGLGJLN,BKGLAGJL,DEFAULT
BKGLGJLN,BKGLGJLN,DEFAULT
BKGLGJLN,BKGLRGJL,DEFAULT
BKGLGJLN,BKGLTGJL,DEFAULT
BKGLGJLN,BKGLAGJL,TESTDATA
BKGLGJLN,BKGLGJLN,TESTDATA
BKGLGJLN,BKGLRGJL,TESTDATA
BKGLGJLN,BKGLTGJL,TESTDATA
BKGLGJRN,BKGLAGJR,DEFAULT
BKGLGJRN,BKGLGJRN,DEFAULT
BKGLGJRN,BKGLRGJR,DEFAULT
BKGLGJRN,BKGLTGJR,DEFAULT
BKGLGJRN,BKGLAGJR,TESTDATA
BKGLGJRN,BKGLGJRN,TESTDATA
BKGLGJRN,BKGLRGJR,TESTDATA
BKGLGJRN,BKGLTGJR,TESTDATA
BKGLSTMT,BKGLSTMT,DEFAULT
BKGLSTMT,BKGLSTMT,TESTDATA
BKGLTRAN,BKGLATRN,DEFAULT
BKGLTRAN,BKGLETRN,DEFAULT
BKGLTRAN,BKGLHIST,DEFAULT
BKGLTRAN,BKGLTEMP,DEFAULT
BKGLTRAN,BKGLTMP,DEFAULT
BKGLTRAN,BKGLTRAN,DEFAULT
BKGLTRAN,BKGLATRN,TESTDATA
BKGLTRAN,BKGLETRN,TESTDATA
BKGLTRAN,BKGLHIST,TESTDATA
BKGLTRAN,BKGLTEMP,TESTDATA
BKGLTRAN,BKGLTMP,TESTDATA
BKGLTRAN,BKGLTRAN,TESTDATA
BKGLX,BKGLX,DEFAULT
BKGLX,BKGLXH,DEFAULT
BKGLX,BKGLX,TESTDATA
BKGLX,BKGLXH,TESTDATA
BKICALTD,BKICALTD,DEFAULT
BKICALTD,BKICALTD,TESTDATA
BKICALTP,BKICALTP,DEFAULT
BKICALTP,BKICALTP,TESTDATA
BKICDIM,BKICDIM,DEFAULT
BKICDIM,BKICDIM,TESTDATA
BKICLOC,BKICELOC,DEFAULT
BKICLOC,BKICLOC,DEFAULT
BKICLOC,BKICELOC,TESTDATA
BKICLOC,BKICLOC,TESTDATA
BKICLOCM,BKICLOCM,DEFAULT
BKICLOCM,BKICLOCM,TESTDATA
BKICMFG,BKICMFG,DEFAULT
BKICMFG,BKICMFG,TESTDATA
BKICMSTR,BKICAMTR,DEFAULT
BKICMSTR,BKICEMTR,DEFAULT
BKICMSTR,BKICMSTR,DEFAULT
BKICMSTR,ISICADT,DEFAULT
BKICMSTR,ISICESA,DEFAULT
BKICMSTR,ISICEST,DEFAULT
BKICMSTR,ISICSTD,DEFAULT
BKICMSTR,XXICMSTR,DEFAULT
BKICMSTR,BKICAMTR,TESTDATA
BKICMSTR,BKICEMTR,TESTDATA
BKICMSTR,BKICMSTR,TESTDATA
BKICMSTR,ISICADT,TESTDATA
BKICMSTR,ISICESA,TESTDATA
BKICMSTR,ISICEST,TESTDATA
BKICMSTR,ISICSTD,TESTDATA
BKICMSTR,XXICMSTR,TESTDATA
BKICPMAT,BKICAPMA,DEFAULT
BKICPMAT,BKICPMAT,DEFAULT
BKICPMAT,DISCOUNT,DEFAULT
BKICPMAT,ISICAPMT,DEFAULT
BKICPMAT,BKICAPMA,TESTDATA
BKICPMAT,BKICPMAT,TESTDATA
BKICPMAT,DISCOUNT,TESTDATA
BKICPMAT,ISICAPMT,TESTDATA
BKICREF,BKICREF,DEFAULT
BKICREF,BKICREF,TESTDATA
BKICREQ,BKICREQ,DEFAULT
BKICREQ,BKICREQ,TESTDATA
BKICTAX,BKICTAX,DEFAULT
BKICTAX,BKICTAX,TESTDATA
BKICVAL,BKICVAL,DEFAULT
BKICVAL,BKICVAL,TESTDATA
BKISTAX,BKISHTAX,DEFAULT
BKISTAX,BKISTAX,DEFAULT
BKISTAX,ISISATAX,DEFAULT
BKISTAX,BKISHTAX,TESTDATA
BKISTAX,BKISTAX,TESTDATA
BKISTAX,ISISATAX,TESTDATA
BKLOGON,BKLOGON,DEFAULT
BKLOGON,BKLOGON,TESTDATA
BKMATCST,BKMATCST,DEFAULT
