file_id,field_id,index_num,part_num
2,55569,2,1
2,56320,2,0
2,56321,2,1
2,56322,2,1
2,56323,2,1
2,56834,0,0
2,57355,2,0
2,57864,2,0
2,57864,2,1
2,57865,2,1
2,57867,2,1
2,57868,2,1
2,57869,2,1
2,57870,2,1
2,57871,2,1
2,58640,2,1
2,59136,2,1
2,59146,2,0
2,59150,2,1
2,59151,2,1
2,59152,2,1
2,59904,2,1
2,59905,2,1
2,59906,2,1
2,59907,2,0
2,59912,2,0
2,59916,2,0
2,59917,2,0
2,60688,2,0
2,60689,2,0
2,60938,1,0
2,62211,2,0
2,62978,2,1
2,62979,2,1
2,62981,2,1
2,62982,2,1
2,62983,2,1
2,62984,2,1
2,62985,2,1
2,62992,2,0
2,64772,2,0
3,10,28,0
3,14,0,0
3,14,2,0
3,15,1,0
3,16,2,1
3,17,2,2
3,773,3,1
3,774,3,1
3,777,3,1
3,1289,3,1
3,1290,3,1
3,1296,3,1
3,1536,0,1
3,1538,0,1
3,1539,0,1
3,1540,0,1
3,1542,0,1
3,1616,0,0
3,1872,0,0
3,2052,3,1
3,2053,3,1
3,2058,3,0
3,2059,3,1
3,2570,3,0
3,3076,3,1
3,3077,3,1
3,3079,3,1
3,3080,3,1
3,3081,3,1
3,3082,3,1
3,3083,3,1
3,3334,3,0
3,3841,1,0
3,4100,3,1
3,4101,3,1
3,4103,3,1
3,4104,3,1
3,4105,3,1
3,4106,3,1
3,4107,3,1
3,4113,3,0
3,5890,3,0
3,5892,1,0
3,5892,3,1
3,5895,3,1
3,5903,3,1
3,6403,3,0
3,6407,2,0
3,6408,3,1
3,6410,3,1
3,6411,3,1
3,6412,3,1
3,7175,3,1
3,7176,3,0
3,7176,3,1
3,8453,3,0
3,8462,3,1
3,8463,3,1
3,9228,3,0
3,9228,3,1
3,9229,3,1
3,9984,3,1
3,9985,3,1
3,9992,3,1
3,9993,3,1
3,9995,3,1
3,9997,3,1
3,10000,3,0
3,10756,3,1
3,10758,3,1
3,10760,3,1
3,10767,3,0
3,12289,3,0
3,12305,3,1
3,13057,3,0
3,13059,3,1
3,13066,3,0
3,13072,3,1
3,13824,3,1
3,13826,3,1
3,13838,3,0
3,13839,3,1
3,13841,3,1
3,14593,3,0
3,14606,3,1
3,14608,3,1
3,15104,3,1
3,15114,3,0
3,15114,3,1
3,15115,3,1
3,15119,3,0
3,16641,3,1
3,16648,3,0
3,16648,3,1
3,16656,3,1
3,16657,3,1
3,17152,3,1
3,17154,3,1
3,17155,3,0
3,17159,3,1
3,17160,3,1
3,17161,3,1
3,17920,3,1
3,17922,3,1
3,17923,3,0
3,17934,3,1
3,17937,3,1
3,18688,3,0
3,18698,3,1
3,18701,3,1
3,19206,3,1
3,19209,3,1
3,19213,3,0
3,19978,3,0
3,19980,3,1
3,19981,3,1
3,19983,3,1
3,19985,3,1
3,20738,3,1
3,20739,3,0
3,20740,3,1
3,20744,3,1
3,20751,3,1
3,20752,3,1
3,21248,3,1
3,21250,3,1
3,21253,3,1
3,21254,3,1
3,21255,3,1
3,21259,3,1
3,22016,3,0
3,22017,3,0
3,22029,3,1
3,22031,3,1
3,22032,3,1
3,22033,3,1
3,22528,3,1
3,22538,3,0
3,23559,3,1
3,23560,3,1
3,23561,3,1
3,23562,3,1
3,23563,3,1
3,23566,3,1
3,23569,3,1
3,24064,3,1
3,24065,3,1
3,24075,3,1
3,24076,3,1
3,24832,3,0
3,24845,3,0
3,25353,3,1
3,25355,3,1
3,25356,3,1
3,25357,3,1
3,25358,2,0
3,25359,3,1
3,25361,3,1
3,26113,3,0
3,26115,3,1
3,26116,3,0
3,26117,3,1
3,26122,3,1
3,27139,3,0
3,27148,3,1
3,27149,3,1
3,27150,3,1
3,27151,3,1
3,27152,3,1
3,27905,3,1
3,27906,3,0
3,27908,3,1
3,27909,3,1
3,27910,3,0
3,27910,3,1
3,28425,3,1
3,28427,3,1
3,28428,3,1
3,28429,3,1
3,28431,3,1
3,28433,3,1
3,29185,3,0
3,29187,3,1
3,29188,3,0
3,29189,3,1
3,29194,3,1
3,29444,3,1
3,29447,3,1
3,29451,3,0
3,29457,3,1
3,29956,3,1
3,29965,3,1
3,29967,3,1
3,29968,3,1
3,29969,3,1
3,30465,3,0
3,30467,3,1
3,30469,3,1
3,30471,3,1
3,30473,3,1
3,31753,3,1
3,31754,3,0
3,31754,3,1
3,32267,3,0
3,32267,3,1
3,33035,3,1
3,33541,3,0
3,33547,3,1
3,34568,3,1
3,34571,3,1
3,34573,3,0
3,35331,3,1
3,35336,3,1
3,35340,3,1
3,35343,3,1
3,35847,3,1
3,35852,3,1
3,35856,3,1
3,36353,3,0
3,36357,3,0
