code,help_title
SO-N,Convers Sales Orders To Work Orders
SO-O-A,Print Open Sales Order Listing
SO-O-B,Print Backorder Listing
SO-O-C,Reprint Invoice
SO-O-D,Print Commissions By Sales Order
SO-O-E,Print Shipping Schedule
SO-O-F,Print Available To Ship
SO-O-G,Print Sales Order Work Order Schedule
SO-O-H,Print Invoice Listing
SO-O-I,Print Released Sales Orders
SO-O-J,Print User Defined Detail
SO-O-K,Print User Defined Summary
SO-O-M,Print Changes To Sales Orders
SO-O-N,Print Ontime Shipping Report
SO-P-A,Enter Sales Quotations
SO-P-B,Print Sales Quotations
SO-P-C,Convert Sales Quotations
SO-P-D,Sales Quotation Detail Report
SO-P-E,Sales Quotation Summary Report
SO-P-F,Release Blanket Order
SO-P-I,Enter Freight Tracking Number
SO-P-J,Post Shipped Items
SO-P-K,Edit Posted Invoice
SO-P-L,Print Changes To Quotes
SO-P-M,Converted Quote Report
SO-P-N,Convert So To Po
SO-P-P,Edit Estimated Ship Dat
SO-Q-A,Enter Base Prices
SO-Q-B,Print Base Price
SO-Q-C,Global Price Change
SO-Q-D,Enter Price Codes
SO-Q-E,Print Price Codes
SO-Q-F,Enter Discount Codes
SO-Q-G,Print Discount Codes
SO-Q-H,Enter Contract Prices
SO-Q-I,Print Contract Prices
SO-Q-J,Generate Base Prices
SO-R,Void Invoice
SO-T,View Sales Orders
SR-A,Enter Service Repair Order
SR-B,Print Service Repair Order
SR-C,Convert S R Order To Work Order
SR-D,Print S R Packing Slip
SR-E,Release S R Order
SR-F,Print S R Invoice
SR-G,Post S R Invoice
SR-I,Void S R Invoice
SU-A,Maintain Grid Lookups
SU-B,Maintain Drill Down Menus
SU-C,Forms Editor
SU-D,Grid Maintenance
TA-D,Maintain Database
TA-G,Maintain Menu Access Records
TA-M,Forms Editor
TA-N,Program Scheduler
TA-O,Backup Utility
TA-Q,Change Logo Image
TA-R,Sql Editor
TA-S,Data Dictionary Check
US-A,Customize Settings
US-B,Customize Menu
US-C,Reser Screen Size Location
US-D,Reset Password
US-E,Update Po Electronic Signature Info
US-F,Enter Reminders
US-G,Enter Triggers
US-H,Update Contract Review Password
UT-A,Run A Tas Program
UT-C,Reindex File
UT-D,Edit Data Location File
UT-H,Print File Layouts
UT-I,Create Delete Company
UT-K-A,Clear Data
UT-K-B,Global Field Replace
UT-K-D,Recalc Gl Chart Of Accounts
UT-K-E,Consolidate Inventory Locations
UT-K-F,Set Avg And Last Cost To Std Cost
UT-K-G,Recalc Inventory Book Value
UT-K-I,Fix Binary Zeroes
WC-A,Enter Warehouse Bin Locations
WC-B,Assign Warehouse Control
WC-C,Assign Bin Locations To Items
WC-E,Print Bin Inventory Listing
WC-F,Warehouse Control Exceptions Report
WO-A,Enter Work Orders
WO-B,Release Work Orders
WO-C,Print Travelers
WO-D,Print Pick Lists
WO-E,Print Labor Cards Labels
WO-F,Enter Labor
WO-G,Issue Materials
WO-H,Entermisc Extra Costs
WO-I,Enter Finished Production
WO-J,Close Cancel Orders
WO-K-A,Enter Work Order Routings
WO-K-B,Enter Work Order Bills Of Material
WO-K-E,Swap Substitute Parts
WO-K-F,Edit Sequence Started Finished Dates
WO-K-G,Recalculate Projected Hours
WO-K-H,Recalculate Work Order Costs
WO-K-I,Kitting System
WO-K-J,Synchronize Work Order To Master Bom And Routing
WO-K-K,Edit Posted Dc Labor
WO-K-L,Quick Work Order
WO-K-M,Parts Requester
WO-K-N,Stockroom Program
WO-K-O,Enter Component Serial 
WO-K-P,Enter Component Lot Inf
WO-K-Q,Convert Wo To Po
WO-K-R,Issue Scrap Component
WO-K-S,Assign Wo To Bin
WO-L-A,Print Work Order Status
WO-L-B,Print Work Order Schedule
WO-L-C,Print Work Center Backlog
WO-L-D,Print Projected Shipments
WO-L-E,Print Post Labor To Payroll
WO-L-F,Print Work Order Shortages
WO-L-G,Print Work Center By Key Component
WO-L-H,Print Projected Vs Estimated Hours
WO-L-I,Print Allocations
WO-L-J,Print Work Order Comple
WO-L-K,Print Wo Bills Of Mater
WO-L-L,Print Wo Component Labe
WO-L-M,Print Material Summary
WO-L-N,Wo Bom For Purchasing
WO-M,Batch Labor Entry
WO-N,Post Labor Batches
WO-O,Post Material Transactions
WO-P,Batch Finished Production
WO-Q,Work Order Inquiry
WO-R,Work Order Defaults
WO-S,Print Work Order Labels
WO-T,Enter Rework Work Order
