path,status,size_bytes,content_sniff,error,pt_len
\\i2s109-solidcrm\DBAMFG$\T7SCC.RWN,OK,312731,binary_0x5503,,312731
\\i2s109-solidcrm\DBAMFG$\T7RMD.RWN,OK,606133,binary_0x471a,,606133
\\i2s109-solidcrm\DBAMFG$\T7SMC.RWN,OK,47716,binary_0x790d,,47716
\\i2s109-solidcrm\DBAMFG$\t7slsfc.RWN,OK,53995,binary_0x0bed,,53995
\\i2s109-solidcrm\DBAMFG$\T7SCG.RWN,OK,301195,binary_0xe895,,301195
\\i2s109-solidcrm\DBAMFG$\T7SCH.RWN,OK,313312,binary_0x8d56,,313312
\\i2s109-solidcrm\DBAMFG$\T7SHC.RWN,OK,258356,binary_0xbd4d,,258356
\\i2s109-solidcrm\DBAMFG$\T7SCF.RWN,OK,332295,binary_0xee42,,332295
\\i2s109-solidcrm\DBAMFG$\T7SIVL.RWN,OK,83367,binary_0x35ce,,83367
\\i2s109-solidcrm\DBAMFG$\T7SHA.RWN,OK,280917,binary_0x8d58,,280917
\\i2s109-solidcrm\DBAMFG$\T7SHF.RWN,OK,300617,binary_0x5c1b,,300617
\\i2s109-solidcrm\DBAMFG$\T7SHB.RWN,OK,342617,binary_0xd8aa,,342617
\\i2s109-solidcrm\DBAMFG$\T7SAO.RWN,OK,441486,binary_0x1fda,,441486
\\i2s109-solidcrm\DBAMFG$\T7SHIPRTM.RWN,OK,286674,binary_0x6b7b,,286674
\\i2s109-solidcrm\DBAMFG$\T7SMJCITEM.RWN,OK,7279,binary_0x29f9,,7279
\\i2s109-solidcrm\DBAMFG$\T7SAA.RWN,OK,523576,binary_0xbaee,,523576
\\i2s109-solidcrm\DBAMFG$\T7SHJ.RWN,OK,336466,binary_0xb9df,,336466
\\i2s109-solidcrm\DBAMFG$\T7SMJE.RWN,OK,7275,binary_0xc7de,,7275
\\i2s109-solidcrm\DBAMFG$\T7SHH.RWN,OK,351278,binary_0x9193,,351278
\\i2s109-solidcrm\DBAMFG$\T7SHG.RWN,OK,377000,binary_0xb5af,,377000
\\i2s109-solidcrm\DBAMFG$\T7SHM.RWN,OK,260705,binary_0xf70d,,260705
\\i2s109-solidcrm\DBAMFG$\T7SHE.RWN,OK,399492,binary_0xb8d6,,399492
\\i2s109-solidcrm\DBAMFG$\T7SMD.RWN,OK,221110,binary_0x1eb0,,221110
\\i2s109-solidcrm\DBAMFG$\T7SAN.RWN,OK,552341,binary_0x0125,,552341
\\i2s109-solidcrm\DBAMFG$\T7SAM.RWN,OK,565692,binary_0x33cc,,565692
\\i2s109-solidcrm\DBAMFG$\T7SHN.RWN,OK,297317,binary_0xd7de,,297317
\\i2s109-solidcrm\DBAMFG$\T7SHO.RWN,OK,280659,binary_0x22d4,,280659
\\i2s109-solidcrm\DBAMFG$\T7SMCB.RWN,OK,263272,binary_0x5a99,,263272
\\i2s109-solidcrm\DBAMFG$\T7SMCC.RWN,OK,263567,binary_0x94fa,,263567
\\i2s109-solidcrm\DBAMFG$\T7SMIA.RWN,OK,214539,binary_0x1b3c,,214539
\\i2s109-solidcrm\DBAMFG$\T7SMIB.RWN,OK,214845,binary_0x2f0a,,214845
\\i2s109-solidcrm\DBAMFG$\T7SMID.RWN,OK,214533,binary_0x9a07,,214533
\\i2s109-solidcrm\DBAMFG$\T7SMIE.RWN,OK,214536,binary_0x9f7d,,214536
\\i2s109-solidcrm\DBAMFG$\T7SMIC.RWN,OK,215012,binary_0x3735,,215012
\\i2s109-solidcrm\DBAMFG$\T7SMIF.RWN,OK,221413,binary_0x0298,,221413
\\i2s109-solidcrm\DBAMFG$\T7SMH.RWN,OK,246588,binary_0xb668,,246588
\\i2s109-solidcrm\DBAMFG$\T7SHI.RWN,OK,462875,binary_0x4cba,,462875
\\i2s109-solidcrm\DBAMFG$\T7SMGA.RWN,OK,265856,binary_0xddca,,265856
\\i2s109-solidcrm\DBAMFG$\T7SME.RWN,OK,280409,binary_0x9f5a,,280409
\\i2s109-solidcrm\DBAMFG$\T7SMF.RWN,OK,261430,binary_0x79e1,,261430
\\i2s109-solidcrm\DBAMFG$\T7SML.RWN,OK,47716,binary_0x6a09,,47716
\\i2s109-solidcrm\DBAMFG$\T7SMJK.RWN,OK,132400,binary_0x0806,,132400
\\i2s109-solidcrm\DBAMFG$\T7SMCA.RWN,OK,388515,binary_0x6216,,388515
\\i2s109-solidcrm\DBAMFG$\T7SMJP.RWN,OK,132397,binary_0xf0e6,,132397
\\i2s109-solidcrm\DBAMFG$\T7SHP.RWN,OK,413805,binary_0x6ee2,,413805
\\i2s109-solidcrm\DBAMFG$\T7SMJH.RWN,OK,222797,binary_0xc09d,,222797
\\i2s109-solidcrm\DBAMFG$\T7SMJT.RWN,OK,132398,binary_0xe173,,132398
\\i2s109-solidcrm\DBAMFG$\T7SMJF.RWN,OK,248871,binary_0xf5a8,,248871
\\i2s109-solidcrm\DBAMFG$\T7SMG.RWN,OK,393053,binary_0x9e2e,,393053
\\i2s109-solidcrm\DBAMFG$\T7SMJG.RWN,OK,251162,binary_0x19d4,,251162
\\i2s109-solidcrm\DBAMFG$\T7SMJA.RWN,OK,330927,binary_0xc1f3,,330927
\\i2s109-solidcrm\DBAMFG$\T7SMJI.RWN,OK,270121,binary_0xd9a7,,270121
\\i2s109-solidcrm\DBAMFG$\T7SMJD.RWN,OK,349562,binary_0xd9ee,,349562
\\i2s109-solidcrm\DBAMFG$\T7SMJS.RWN,OK,246964,binary_0x9a02,,246964
\\i2s109-solidcrm\DBAMFG$\T7SMPB.RWN,OK,214624,binary_0x7ee8,,214624
\\i2s109-solidcrm\DBAMFG$\T7SMPA.RWN,OK,214620,binary_0x212d,,214620
\\i2s109-solidcrm\DBAMFG$\T7SMK.RWN,OK,234703,binary_0xb733,,234703
\\i2s109-solidcrm\DBAMFG$\T7SMJJ.RWN,OK,313058,binary_0xae63,,313058
\\i2s109-solidcrm\DBAMFG$\T7SMJO.RWN,OK,293235,binary_0x73a2,,293235
\\i2s109-solidcrm\DBAMFG$\T7SMJQ.RWN,OK,283582,binary_0x8085,,283582
\\i2s109-solidcrm\DBAMFG$\T7SOCPT.RWN,OK,7275,binary_0x52a4,,7275
\\i2s109-solidcrm\DBAMFG$\T7SMN.RWN,OK,273614,binary_0x9d76,,273614
\\i2s109-solidcrm\DBAMFG$\T7SMJR.RWN,OK,301797,binary_0x1500,,301797
\\i2s109-solidcrm\DBAMFG$\T7SMNA.RWN,OK,273614,binary_0x9d76,,273614
\\i2s109-solidcrm\DBAMFG$\T7SMPF.RWN,OK,234270,binary_0xec9c,,234270
\\i2s109-solidcrm\DBAMFG$\T7SMJB.RWN,OK,445241,binary_0xba6a,,445241
\\i2s109-solidcrm\DBAMFG$\T7SMNF.RWN,OK,280872,binary_0x96b4,,280872
\\i2s109-solidcrm\DBAMFG$\T7SMO.RWN,OK,290214,binary_0xaa37,,290214
\\i2s109-solidcrm\DBAMFG$\T7SMPI.RWN,OK,216187,binary_0x3004,,216187
\\i2s109-solidcrm\DBAMFG$\T7SMPH.RWN,OK,257543,binary_0x52ef,,257543
\\i2s109-solidcrm\DBAMFG$\T7SMJV.RWN,OK,340289,binary_0xc9cb,,340289
\\i2s109-solidcrm\DBAMFG$\T7SMSB.RWN,OK,244964,binary_0xf68f,,244964
\\i2s109-solidcrm\DBAMFG$\T7SMT.RWN,OK,246591,binary_0xd8b1,,246591
\\i2s109-solidcrm\DBAMFG$\T7SMSC.RWN,OK,273616,binary_0x9ee7,,273616
\\i2s109-solidcrm\DBAMFG$\T7SMPJ.RWN,OK,296205,binary_0x3cad,,296205
\\i2s109-solidcrm\DBAMFG$\T7SMJN.RWN,OK,427993,binary_0x756d,,427993
\\i2s109-solidcrm\DBAMFG$\T7SMJM.RWN,OK,448657,binary_0xf7e2,,448657
\\i2s109-solidcrm\DBAMFG$\T7SOAXCOM.RWN,OK,185472,binary_0x4458,,185472
\\i2s109-solidcrm\DBAMFG$\T7SMW.RWN,OK,234585,binary_0xf1a5,,234585
\\i2s109-solidcrm\DBAMFG$\T7SOOC.RWN,OK,7274,binary_0x3b40,,7274
